Geladeira;preco;preco_desconto;parcelas;valor_parcela
Geladeira Consul Frost Free 342 litros cor Inox com Gavetão Hortifruti - CRB39AK;2.210,00;2.150,00;12;179,17
Geladeira Brastemp Frost Free Duplex 400 litros cor Inox com Freeze Control - BRM54HK;4.629,00;3.674,46;12;325,75
Geladeira Refrigerador Consul 334 Litros 2 Portas Classe A CRD37EB;2.755,90;1.793,97;10;192,90
Refrigerador Consul CRA30FB 261 Litros Branco 110v;1.710,38;1.453,82;12;142,53
Geladeira/Refrigerador Consul Frost Free 1 Porta;2.870,00;2.279,05;10;239,90
Geladeira/Refrigerador Samsung Frost Free Inverter;6.300,00;3.999,00;10;399,90
Geladeira/Refrigerador Electrolux Frost Free;5.320,00;3.989,00;10;398,90
Geladeira/Refrigerador Top Freezer 474L Platinum (TF56S);5.249,00;3.440,07;12;308,25
Geladeira Cycle Defrost Electrolux 240 Litros Degelo Prático Branco RE31 - 110V;1.670,98;1.420,33;12;139,25
Geladeira/Refrigerador Continental Frost Free;3.990,00;2.999,00;10;299,90
Geladeira Refrigerador Brastemp 375 Litros Frost Free 2 Portas BRM44;3.440,90;2.794,57;10;300,49
Geladeira/Refrigerador Brastemp Frost Free Duplex;5.599,00;3.999,00;10;399,90
Geladeira/Refrigerador Electrolux Frost Free;5.040,00;3.699,90;10;369,99
Geladeira/Refrigerador Brastemp Frost Free Inverse;7.140,00;4.560,86;10;480,09
Geladeira/Refrigerador Samsung Frost Free Inverter;6.650,00;4.464,05;10;469,90
Geladeira Brastemp Frost Free Duplex 462 litros cor Inox com Turbo Control;5.419,00;4.163,26;12;369,08
Geladeira/Refrigerador Electrolux Frost Free;4.270,00;3.399,00;10;339,90
Geladeira/Refrigerador Smart LG Side by Side;11.739,90;9.879,05;10;1.039,90
Refrigerador de 02 Portas Brastemp Frost Free com 443 Litros com Freezer Invertido Cor Inox - BRE57AK;5.058,90;4.494,00;12;374,50
Geladeira Brastemp Frost Free Duplex 375 litros cor Inox com Espaço Adapt - BRM45HK;4.169,00;3.619,00;12;301,58
Geladeira Consul Frost Free 342 litros cor Inox com Gavetão Hortifruti CRB39AKANA;2.265,20;1.925,42;12;188,77
Refrigerador Consul 342 Litros Frost Free CRB39AB - 127V;2.124,07;1.805,46;12;177,01
Geladeira Side By Side Eco Inverter Philco 434 Litros Inox PRF533ID - 220V;4.862,22;4.132,89;12;405,19
Refrigerador Samsung Frost Free Side by Side 501L;9.999,00;8.899,00;10;889,90
Refrigerador Cycle Defrost 260L Branco DC35A 127V;2.419,00;2.177,10;12;201,58
Geladeira/Refrigerador Continental Frost Free;4.270,00;3.134,05;10;329,90
Geladeira/Refrigerador Electrolux 240L RE31;1.999,00;1.709,05;10;179,90
Geladeira Brastemp Frost Free Inverse 573 litros cor Inox com Smart Bar - BRE80AK;7.209,00;6.209,00;12;517,42
Geladeira Electrolux Top Freezer 382L Branco (TF42);3.549,00;2.696,07;12;241,58
Geladeira Frost Free Electrolux 553 litros Infinity (DF82);5.939,00;4.091,07;12;366,58
Geladeira Brastemp Frost Free Inverse 443 litros Branca com Turbo Ice;4.999,00;4.659,00;12;388,25
Geladeira/Refrigerador Electrolux Frost Free;4.830,00;3.799,00;10;379,90
Refrigerador Bottom Freezer Inverter Electrolux de 02 Portas Frost Free com 454 Litros Painel Blue Touch - IB53X;5.396,61;4.794,00;12;399,50
Geladeira/Refrigerador Cycle Defrost Electrolux Inox 475L (DC51X);4.249,00;3.114,57;12;279,08
Geladeira frost free 371 litros electrolux (dfn41) 127v;2.677,55;2.677,55;1;2.677,55
Geladeira Side By Side Eco Inverter Philco 434 Litros Inox PRF533ID - 110V;4.847,00;4.119,95;12;403,92
Refrigerador Electrolux Degelo Prático 240 Litros Cycle Defrost Branco RE31 - 220V;1.663,33;1.413,83;12;138,61
Refrigerador Philco 437 Litros Side By Side Eco Inverter Inox PRF533I  127 Volts;5.518,00;3.908,30;12;383,17
Geladeira/Refrigerador Electrolux 240L RE31;2.519,00;2.393,05;10;251,90
Geladeira Consul Frost Free Duplex 410 litros com Espaço Flex cor Inox Com Controle Interno de Temperatura CRM50HK;4.059,00;3.619,00;12;301,58
Geladeira Duplex Electrolux 310 Litros Frost Free Branco TF39  220V;2.448,90;2.081,57;12;204,08
Geladeira Brastemp Frost Free Inverse 443 L Branca com Turbo Ice BRE57AB - 127V;3.899,00;3.899,00;1;3.899,00
Geladeira Refrigerador Electrolux 260 Litros Defrost 2 Portas Classe A DC35A;2.623,90;1.682,37;10;180,90
Geladeira Consul Frost Free 342 litros Branca com Gavetão Hortifruti - CRB39AB;2.457,00;2.398,00;12;199,83
Geladeira Samsung Frost Free Duplex BAROSA com Smart Sensor e Dispenser de Água 432L Inox Look;6.693,00;6.693,00;1;6.693,00
Refrigerador Electrolux 240L Branco 1 Porta 127V RE31;1.729,00;1.469,65;12;144,08
Geladeira/Refrigerador Panasonic 387 Litros, BT40BD1W, Frost Free, 2 Portas NR, Branco;2.699,00;2.564,05;10;269,90
Geladeira/Refrigerador Electrolux Frost Free 1 Porta RFE39 322 Litros Branco;2.199,00;1.994,05;10;209,90
Geladeira Brastemp Frost Free Inverse 573 litros Branca com Smart Bar - BRE80AB;5.042,00;5.041,00;12;420,08
Geladeira Consul Frost Free Duplex 450 litros com Espaço Flex cor Inox Com Painel Eletrônico Externo CRM56HK;4.509,00;4.019,00;12;334,92
Geladeira Brastemp Frost Free Inverse 443 L Inox com Turbo Ice BRE57AK - 127V;4.478,38;3.806,62;12;373,20
Refrigerador Electrolux 431 Litros TF55 Branco  220 Volts;4.115,00;2.914,65;12;285,75
Geladeira/Refrigerador Midea Frost Free;5.320,00;3.399,00;10;339,90
Refrigerador Panasonic Frost Free NR-BT40BD1W com Painel Eletrônico - 387 L;2.628,07;2.233,86;12;219,01
Geladeira Duplex Electrolux 310 Litros Frost Free Branco TF39  110V;2.129,00;2.129,00;1;2.129,00
