Geladeira;preco;preco_desconto;parcelas;valor_parcela
Geladeira Consul 342 Litros Frost Free Inox CRB39AK  220V;2.295,79;1.951,42;12;191,32
Geladeira Brastemp Frost Free Inverse - 443L BRE57AK 110V;4.799,00;4.274,10;12;395,75
Geladeira/Refrigerador Frost Free 431 Litros Electrolux TF55S Platinum 220V;4.519,14;3.841,27;10;451,91
Refrigerador Geladeira Consul 2 Portas 334 Litros CRD37EB;2.399,00;2.279,05;1;2.279,05
Geladeira Frost Free Electrolux 454 Litros Inverse Branca (DB53);4.279,00;3.533,07;12;316,58
Geladeira Consul CRE44AB Frost Free 2 Portas 397L;4.099,90;3.599,91;12;333,33
Refrigerador Degelo Prático 240l Cycle Defrost Branco Re31 127v;1.665,56;1.499,00;12;138,80
Refrigerador 2 Portas Electrolux 371L Frost Free DFN41;3.099,90;2.609,91;12;241,66
Geladeira Consul Frost Free Evox 397L CRE44AK;3.749,00;3.749,00;1;3.749,00
Geladeira Electrolux DC35A Defrost 2 Portas 260L;2.299,90;1.979,91;12;183,33
Refrigerador Electrolux Cycle Defrost 2 Portas 475 Litros Branco DC51  220 Volts;3.509,01;2.982,66;12;292,42
Gaveta freezer refrigerador panasonic nr-bb53;409,00;380,37;12;34,08
Refrigerador Midea Frost Free 425 Litros Inox MD-RT453  220 Volts;3.694,00;2.616,30;12;256,50
Refrigerador Electrolux Frost Free 598 Litros Inox DB84X  127 Volts;6.827,00;4.835,65;12;474,08
Refrigerador Brastemp 2 Portas Branco 375L FF 127V BRM44HB;2.869,41;2.439,00;12;239,12
Geladeira/Refrigerador Consul Frost Free 1 Porta CRB39A 342 Litros Branco 220V;2.399,00;1.804,05;10;189,90
Refrigerador Electrolux 371L 2 Portas Frost Free Branco 220V DFN41;2.822,35;2.399,00;12;235,20
Geladeira/Refrigerador Top Freezer cor Inox 402L  Electrolux (DF44S);4.079,00;3.254,07;12;291,58
Geladeira 400L Brastemp BRM54HB Branca 220V;3.692,27;3.692,27;1;3.692,27
Geladeira Panasonic Frost Free 387L Inox  NR-BT40BD1XB;2.749,00;2.749,00;1;2.749,00
Refrigerador Consul Biplex 334 Litros Cycle Defrost CRD37;3.024,95;2.285,45;10;268,88
Refrigerador Electrolux 382 Litros TF42 Branco  127 Volts;3.703,00;2.623,10;12;257,17
Refrigerador Brastemp Frost Free Duplex 500L 2 Portas Branco 220V BRM57ABBNA;5.299,00;4.099,00;12;401,86
Refrigerador Brastemp Frost Free Inverse 443L Inox 127V BRE57AK;4.999,00;4.099,00;12;401,86
Refrigerador Panasonic BB53 Inverter Bottom Freezer 425L 2 Portas Aço Escovado Frost Free 127V NR-BB53PV3XA;4.387,06;3.729,00;12;365,59
Geladeira Frost Free CRM43NB 386 Litros 2 Portas Duplex Consul;2.748,00;2.748,00;1;2.748,00
Geladeira Brastemp Frost Free Duplex 375L Inox BRM44HK Evox 110V;3.299,00;2.609,10;12;241,58
Geladeira Brastemp Frost Free 443 Litros BRE57AB Inverse Branca 110V;4.599,00;3.509,10;12;324,92
Geladeira/Refrigerador Frost Free Electrolux Side By Side Inox 504L (SS72X);11.619,00;8.090,07;12;724,92
Geladeira Frost Free Consul CRM56HK 450 Litros Espaço Flex Inox 220V;3.999,00;3.176,10;12;294,08
Refrigerador Consul 261L 1 Porta Branco 127V CRA30FBANA;2.099,00;1.489,00;12;145,98
Refrigerador Electrolux Inverter 431 Litros Platinum IF55S - 220 Volts;4.378,71;3.721,90;12;364,89
Geladeira/Refrigerador Frost Free 500L Brastemp BRM57AB Branca 220V;5.070,39;4.309,83;10;507,04
Geladeira Inverse Painel Blue Touch Electrolux 454 Litros Frost Free Inox DB53X - 110V;4.781,85;4.064,57;12;398,49
Refrigerador Electrolux Top Freezer 431L Branco TF55 127V;3.199,00;3.199,00;1;3.199,00
Geladeira Duplex Platinum Continental 370 Litros Frost Free Prata TC41S  220V;2.749,39;2.336,98;12;229,12
Refrigerador Electrolux Cycle Defrost 260L Branco DC35A 127v;2.419,00;2.177,10;12;201,58
Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR-BB71PVFX 480 Litros Tecnologia Inverter Aço Escovado;5.299,00;4.369,05;10;459,90
Geladeira/Refrigerador Frost Free 371 Litros Electrolux DFN41 Branca 127V;3.273,32;3.273,32;1;3.273,32
GeladeiraRefrigerador Panasonic Frost Free 435 Litros BT50;3.899,90;3.059,91;12;283,33
Refrigerador 397 Litros Consul 2 Portas Frost Free Inverse Cre44abana;4.597,90;3.734,05;10;401,51
Refrigerador Electrolux Frost Free 310 Litros Platinum TF39S - 127 Volts;3.157,84;2.684,16;12;263,15
Refrigerador Frost Free Inox 371L Electrolux DFX41 220V;3.299,00;3.299,00;1;3.299,00
Geladeira Electrolux Top Freezer Frost Free Efficient Black Inox Look com Tecnologia Autosense (IF55B);5.279,00;4.799,00;12;399,92
Geladeira Panasonic Frost Free 435 Litros BT50;3.599,90;3.059,91;12;283,33
Refrigerador Consul Domest 1 Porta 342L Branco CRB39AB 220V;1.998,89;1.799,00;12;166,57
Refrigerador 397 Litros Consul 2 Portas Frost Free Inverse Cre44abana;4.597,90;3.734,05;10;401,51
Geladeira Frost Free Top Freezer 382L com Dispenser de Água Electrolux (TW42S) 220V;3.446,99;2.929,94;12;287,25
Geladeira/Refrigerador Frost Free 410 Litros Consul CRM50HK Inox 127V;3.857,64;3.278,99;10;385,76
Geladeira/Refrigerador Frost Free Duplex Prata 394 Litros (TC44S) - 127V;2.927,90;2.488,72;12;243,99
Geladeira / Refrigerador Consul 342 Litros 1 Porta Frost Free Classe A CRB39;2.836,90;1.728,87;10;185,90
Mini Geladeira 4L 12V 127V Capacidade 6 Latas de 350ML Com Cabo DC Sem Cabo AC Branca Multilaser - TV009;358,90;358,90;1;358,90
Geladeira/Refrigerador Smart LG Bottom Freezer ;9.030,00;6.269,05;10;659,90
Refrigerador Electrolux Cycle Defrost 2 Portas 475 Litros Branco DC51  127 Volts;4.055,00;2.872,15;12;281,58
Geladeira Duplex Top Freezer Panasonic 435 Litros Frost Free Aço Escovado NR-BT51PV3X - 110V;3.289,29;2.795,90;12;274,11
Geladeira/Refrigerador Panasonic Frost Free 2 Portas Econavi NR BT50 435 Litros Branco;3.199,00;2.944,05;10;309,90
Geladeira / Refrigerador Brastemp 375 Litros 2 Portas Frost Free Duplex BRM44HK;2.799,00;2.799,00;1;2.799,00
Geladeira Electrolux Multi Door Frost Free 579L DM84X Inox;6.399,00;6.399,00;1;6.399,00
Geladeira/Refrigerador Cycle Defrost 260L Branco (DC35A);2.379,00;2.039,00;12;169,92
Geladeira/Refrigerador Frost Free 310 Litros Electrolux TF39S Platinum 220V;3.471,77;2.951,00;10;347,18
Refrigerador Brastemp 2 Portas Branco 375l Frost Free 220v;2.869,41;2.439,00;12;239,12
Geladeira/Refrigerador Brastemp Frost Free Inverse;10.639,00;7.219,05;10;759,90
Geladeira Refrigerador Panasonic Frost Free 483 Litros BT55;4.499,90;3.779,91;12;349,99
Geladeira/Refrigerador Electrolux Cycle Defrost;4.410,00;3.704,05;10;389,90
Geladeira Consul CRB39AB Frost Free 342L;1.999,00;1.999,00;1;1.999,00
Refrigerador Consul 386 Litros 2 Portas Frost Free Classe A CRM43NB;3.349,90;2.834,67;10;333,49
Geladeira Panasonic Freezer Inverter Frost 425L Aço;4.199,00;4.199,00;1;4.199,00
Geladeira Brastemp Frost Free Duplex 375 litros com Compartimento Extrafrio - BRM44HK;3.849,00;3.389,00;12;282,42
Geladeira Panasonic Frost Free 480L NR-BB71PVFX Inox;4.999,00;4.999,00;1;4.999,00
Refrigerador Philco 434 Litros Side By Side Eco Inverter Inox PRF533ID  220 Volts;5.998,73;5.098,92;12;499,89
Geladeira Refrigerador Consul CRA30 Degelo Seco 261 Litros;1.899,00;1.785,10;12;148,76
Refrigerador Duplex Frost Free Panasonic 387 Litros NR BT40BD;4.068,64;2.749,90;12;229,16
Geladeira Frost Free Philco 482L 4 Portas PRF500I French Door Inverse 220V;4.998,89;4.499,00;12;416,57
Geladeira Philco Frost Free French Door 3 Portas PRF406I 396 Litros;4.599,00;4.599,00;1;4.599,00
Refrigerador Consul Frost Free Facilite CRB39AB 342L;2.076,67;1.869,00;12;173,06
Geladeira Refrigerador Consul 1 Porta Frost Free 342 Litros - CRB39;2.599,90;2.159,91;12;199,99
Geladeira Frost Free Midea MD-RT453FGA041 425L Inox 110V;3.799,00;2.951,10;12;273,25
Refrigerador Duplex Consul Cycle Defrost 334L 220V CRD37EB;2.351,76;1.999,00;12;195,98
Geladeira Frost Free Panasonic NR-BT51PV3XA 435 Litros Inverter Inox 110V;3.699,00;2.969,10;12;274,92
Refrigerador Bottom Freezer Electrolux de 02 Portas Frost Free com 598 Litros Painel Eletrônico Inox - DB84X;7.099,00;5.776,93;12;481,41
Refrigerador 2 Portas Consul 334 Litros Cycle Defrost Classe A;2.599,90;2.159,91;12;199,99
Geladeira/Refrigerador Inverter 554 Litros Philco PRF600I Inox 127V;6.193,95;5.264,86;10;619,40
Geladeira Brastemp Frost Free Duplex Branca 400L BRM54 110V;3.499,00;2.789,10;12;258,25
Geladeira Consul CRE44AB Frost Free 2 Portas 397L;4.099,90;3.599,91;12;333,33
Geladeira Consul CRE44AK Frost Free Duplex 397L;4.699,90;4.139,91;12;383,33
Geladeira/Refrigerador Samsung Frost Free;14.999,00;9.599,00;12;799,92
Geladeira Refrigerador Brastemp 375 Litros 2 Portas Frost Free BRM44HK;3.859,90;2.779,42;10;326,99
Geladeira/Refrigerador Smart LG French Door ;17.836,00;12.102,91;10;1.273,99
Geladeira Philco Frost Free Side By Side 2 Portas 489 Litros PFR504I;4.799,00;4.799,00;1;4.799,00
Geladeira Refrigerador Consul CRA30 Degelo Seco 261 Litros;1.799,00;1.529,10;12;141,58
Geladeira Frost Free Electrolux 540 Litros 3 portas Inverse Inverter Cor Inox com Wi-fi (DM91X);20.869,00;15.809,07;12;1.416,58
Geladeira Samsung Side by Side Inverter 601 Litros Inox Look 220V RS65R5691M9/BZ;14.899,00;13.409,10;12;1.241,58
Refrigerador Panasonic BT40 387L 2 Portas Aço Escovado Frost Free 220V NR-BT40BD1XB;2.776,67;2.499,00;12;231,39
Geladeira Frost Free Consul CRE44AK 397 Litros Duplex Evox 110V;4.399,00;3.356,10;12;310,75
Refrigerador Electrolux Cycle Defrost 475L DC51X Inox 127v;4.188,39;3.560,13;10;418,84
Refrigerador Panasonic BT50 Top Freezer 435L 2 Portas Branco Frost Free 220V NR-BT50BD3WB;3.410,59;2.899,00;12;284,22
Geladeira Frost Free Consul CRM56HB 450 Litros Espaço Flex Branca 110V;3.599,00;2.870,10;12;265,75
Geladeira Continental Frost Free 370L TC41S Inox;2.599,00;2.599,00;1;2.599,00
Refrigerador Electrolux Top Freezer 431L Platinum 127V TF55S;3.834,12;3.199,00;12;313,63
Geladeira/Refrigerador Esmaltec 1 Porta Cycle Defrost ROC 31 245 Litros Branco;1.799,00;1.614,05;10;169,90
Geladeira Philco Frost Free Side By Side 2 Portas 489 Litros PFR504I;4.799,00;4.799,00;1;4.799,00
Refrigerador Philco Side By Side 489L PRF504I Inverter 110v;5.699,90;4.844,92;12;474,99
Geladeira Consul Facilite Frost Free 1 Porta 342L CRB39A Branco;2.199,00;2.199,00;1;2.199,00
Geladeira/Refrigerador Brastemp Frost Free Side by;12.559,90;10.613,31;10;1.117,19
Geladeira/Refrigerador Smart LG Side by Side;26.039,00;17.669,05;10;1.859,90
Refrigerador Electrolux Degelo Prático RE31 com Controle de Temperatura 240L Branco 220V;1.621,11;1.459,00;12;135,09
Refrigerador Panasonic BB53 Inverter Bottom Freezer 425L 2 Portas Preto Frost Free 127V NR-BB53GV3BA;4.665,56;4.199,00;12;388,80
Geladeira Brastemp Frost Free Side Inverse 540 litros cor Inox com Ice Maker - BRO80AK;8.159,00;7.469,00;12;622,42
Refrigerador Electrolux Frost Free 553 Litros Branco DF82 - 127 Volts;5.998,00;4.248,30;12;416,50
Geladeira Electrolux Frost Free Branco 431L TF55;3.199,00;3.124,90;10;312,49
Refrigerador Side By Side Samsung Convert de 03 Portas Frost Free com 602 Litros Inox Look - RS65R;16.878,75;14.994,00;12;1.249,50
Geladeira/Refrigerador Frost Free 375L Brastemp BRM45HB Branca 220V;3.471,77;2.951,00;10;347,18
Refrigerador Philco Side By Side 489L PRF504I Inverter;8.999,90;5.299,90;12;441,66
Refrigerador 370 Litros Continental 2 Portas Frost Free TC41;3.248,90;2.639,03;10;283,77
Geladeira Refrigerador Panasonic 387 Litros Frost Free 2 Portas;2.999,90;2.519,91;12;233,33
Refrigerador Electrolux Top Freezer 431 Litros Frost free TF55S  127 Volts;4.726,00;3.347,30;12;328,17
Geladeira Brastemp Frost Free 500 Litros Duplex BRM57AK Evox 110V;4.999,00;4.193,10;12;388,25
Refrigerador Electrolux Top Freezer 431L Branco 127V TF55;3.492,94;2.969,00;12;291,08
Geladeira Panasonic Inverter Frost Free 2 Portas BB53 Glass 425L;5.499,90;4.679,91;12;433,33
Refrigerador Electrolux Frost Free Multi Door 579 Litros Inox DM84X - 127 Volts;7.247,78;6.160,61;12;603,98
Mini Geladeira 15 Litros branca Mini Cool;999,00;949,05;10;99,90
Geladeira Consul Frost Free Duplex 397 litros CRE44 CRE44ABBNA;4.499,90;3.682,39;10;433,22
Refrigerador Brastemp Frost Free Inverse 443 Litros BRE57AK - 220 Volts;4.997,66;4.248,01;12;416,47
Refrigerador Brastemp BRM44HK Frost Free com Gavetão de Legumes Fresh Zone Inox - 375L;4.500,00;3.149,91;12;291,66
Geladeira Refrigerador Panasonic 425L Frost Free Inverse NR-BB53PV3X;4.922,90;3.998,07;10;429,90
Geladeira/Refrigerador Degelo Prático 240L Cycle Defrost Branco (RE31);1.959,00;1.580,07;12;141,58
Geladeira Brastemp Frost Free Duplex 375 litros cor Branca - BRM44HB;3.529,00;3.159,00;12;263,25
Refrigerador Brastemp Side Inverse 3Portas 540L FF Inox 127V;7.999,00;6.199,00;12;607,75
Geladeira/Refrigerador Consul Frost Free 2 Portas CRE44AB 397 Litros Inverse Branco;3.799,00;3.609,05;10;379,90
Geladeira Samsung Evolution RT38 com POWERvolt Inverter Duplex 385L Inox Look;4.251,00;4.251,00;1;4.251,00
Geladeira Brastemp Frost Free Inverse 443 Litros Inox 110V BRE57AKANA;4.799,00;4.319,10;12;399,92
Geladeira Panasonic BB71 480 Litros Frost Free Inverter Smartsense Aço Escovado;5.759,00;4.559,05;10;479,90
Geladeira Frost Free Duplex CRM56HB 450 Litros Espaço Flex Consul;3.198,00;3.198,00;1;3.198,00
Geladeira Panasonic Frost Free Inverter 2 Portas BB53 425 Litros Aço Escovado 110V;4.499,00;3.599,10;12;333,25
Geladeira Electrolux Frost Free RFE39 322 Litros Branca 110V;2.599,00;1.880,10;12;174,08
Mini Geladeira 18 litros preta Mini Cool;1.299,00;1.234,05;10;129,90
Kit Geladeira Evolution RT38 Inverter Duplex 385L Bivolt E Lava & Seca Ecobubble 11.7kg 110V;7.517,00;6.969,00;10;696,90
Geladeira/Refrigerador Electrolux Automático Inox ;10.000,00;5.129,05;10;539,90
Geladeira Consul 261l Degelo Seco Cra30f Branca 110v;1.621,11;1.459,00;12;135,09
Geladeira/Refrigerador Electrolux Frost Free Inox;6.999,90;6.079,05;10;639,90
Geladeira Frost Free Brastemp Inverse 419L Inox BRY59BK;6.299,00;6.299,00;1;6.299,00
Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR-BB71GVFB 480 Litros Preto;5.499,00;4.939,05;10;519,90
Gaveta de Legumes Refrigerador Electrolux R26/280/RE29;106,89;90,86;3;35,63
Geladeira Brastemp Frost Free BRM44HB 375L;3.099,90;2.609,91;12;241,66
Refrigerador Brastemp BRM44 Frost Free com Compartimento para Latas e Long Necks Branco- 375L;3.699,00;2.772,81;12;256,74
Geladeira Consul Frost Free 1 Porta 342 Litros;2.399,00;1.899,05;1;1.899,05
Refrigerador 2 Portas Consul 334 Litros Cycle Defrost Classe A;2.509,90;2.159,91;12;199,99
Refrigerador de 02 Portas Brastemp Frost Free com 462 Litros com Turbo Ice e Painel Eletrônico Evox - BRM56AK;5.171,47;4.594,00;12;382,83
Geladeira Brastemp 443Litros 2 Portas Frost Free;4.999,90;4.229,91;12;391,66
Refrigerador Frost Free Electrolux 553 Litros DF82X Inox  127 Volts;5.496,28;4.671,84;12;458,02
Geladeira Frost Free Consul CRE44AK 397 Litros Duplex Evox 220V;4.199,00;3.419,10;12;316,58
Geladeira Brastemp Frost Free com Freeze Control  BRM54HB 400L;3.499,90;2.969,91;12;274,99
Geladeira Frigobar Multilaser Tv010 Branca 4l 12v/220v 12v/110v;409,90;381,21;10;40,99
Geladeira/Refrigerador Esmaltec 276 Litros, RCD34, Cycle Defrost, 2 Portas, Preto;2.199,00;1.994,05;10;209,90
Geladeira Frost Free Electrolux TF56 474 Litros Duplex Top Freezer Branca 110V;3.789,00;3.077,10;12;284,92
Refrigerador 400 Litros Brastemp 2 Portas Frost Free BRM54HB;4.159,00;3.418,79;12;335,18
Refrigerador brastemp 375l 127v brm44hk - 123168;3.468,20;2.947,97;12;289,02
Geladeira Frost Free Electrolux DB53X 454 Litros Duplex Inox 110V;4.899,00;3.904,20;12;361,50
Geladeira Philco Frost Free Side by Side 2 Portas PRF520DI 520 Litros;6.999,00;6.999,00;1;6.999,00
Refrigerador Consul 410 Litros Frost Free 2 Portas CRM50HK;4.288,90;3.483,54;10;374,57
Mini Geladeira Portátil Branca KX3 4,5 Litros Refrigera e Aquece Universal;479,90;359,91;12;33,33
Refrigerador Electrolux 260 Litros Dc35a;1.999,00;1.728,05;10;181,90
Geladeira Frost Free Electrolux TF39 310 Litros Duplex com Painel Digital Branca 110V;2.699,00;2.213,10;12;204,92
Conservador/Refrigerador Gelopar GHDE-220H;4.432,90;3.087,41;10;324,99
Geladeira Electrolux Frost Free Top Freezer 2 Portas TF55S 431 Litros;3.299,00;3.299,00;1;3.299,00
Geladeira/Refrigerador Esmaltec, 276 Litros, RCD34, Cycle Defrost, 2 Portas, Branco;1.899,00;1.804,05;10;189,90
Geladeira Brastemp Frost Free 400 Litros Duplex BRM54HK Evox 220V;4.199,00;3.212,10;12;297,42
Geladeira Panasonic 2 Portas Frost Free 387L BT40BD1W;3.294,42;2.629,90;12;219,16
Geladeira Consul Facilite 1Porta 300L Branco Frost Free 127V;3.639,00;1.929,00;12;189,12
Geladeira Consul 261 litros Degelo Seco com Gavetão Hortifruti 220V 220V;1.699,00;1.529,10;12;141,58
Refrigerador Consul Biplex 334 Litros Cycle Defrost CRD37;3.119,34;2.285,45;12;224,06
Refrigerador Electrolux Cycle Defrost 475L Inox 220v - DC51X;4.188,39;3.560,13;10;418,84
Mini Geladeira Multilaser 4L 12V 110V Capacidade 6 Latas 350ML Com Cabo DC Sem Cabo AC Branca Tv009;358,90;358,90;1;358,90
Geladeira Frost Free Consul CRB36AB 300 Litros Branca 110V;2.399,00;2.069,10;12;191,58
Geladeira Brastemp Inverse Frost Free 443 Litros;5.299,00;4.369,05;1;4.369,05
Geladeira Consul 334 litros Cycle Defrost Duplex com Freezer Supercapacidade 110V 110V;2.099,00;1.889,10;12;174,92
Refrigerador Consul Cycle Defrost Duplex 415 litros Crd46abana;2.989,00;2.782,55;10;292,90
Geladeira Brastemp Frost Free Side Inverse 540 litros Preto com Ice Maker - BRO80AE;9.271,00;8.799,00;12;733,25
Refrigerador Duplex Consul Cycle Defrost 334L 127V CRD37EB;2.351,76;1.999,00;12;195,98
Geladeira Panasonic Freezer Inverter Bottom 2 Portas Frost Free 425L NR-BB53PV3WB Branco;3.849,00;3.849,00;1;3.849,00
Geladeira Refrigerador Electrolux 3 Portas Degelo Automático Multi Door 579 Litros DM84X;6.665,56;6.665,56;1;6.665,56
Geladeira Refrigerador Consul 334 Litros 2 Portas Classe A CRD37E;2.620,90;2.141,79;10;230,30
Geladeira Panasonic Frost Free Branco Porta de Vidro 425L NR-BB53GV3WB;4.549,00;4.549,00;1;4.549,00
Refrigerador Geladeira Brastemp Frost Free Duplex BRM54 400 litros Classe A;3.999,90;3.419,91;12;316,66
Refrigerador Consul 450 Litros 2 Portas Frost Free CRM56HB;4.369,90;3.549,46;10;381,66
Tampa Da Gaveta De Resfriamento Rápido Rfn711604;79,00;71,10;2;39,50
Geladeira/Refrigerador Brastemp Frost Free Inverse;26.599,00;25.269,05;10;2.659,90
Refrigerador Geladeira Brastemp Frost Free Duplex BRM54 400 litros Classe A;4.149,90;3.599,91;12;333,33
Geladeira/Refrigerador Panasonic 435L NR-BT50BD3XA 127V;3.221,11;2.899,00;12;268,43
Geladeira Refrigerador Esmaltec 276 Litros 2 Portas Classe A - RCD34;2.168,90;1.761,30;10;189,39
Geladeira Refrigerador Brastemp Duplex Frost Free 462 Litros BRM56AB;3.499,00;3.499,00;1;3.499,00
Refrigerador 483L Panasonic 2 Portas Frost Free NR-BT55PV2XB;4.415,90;3.586,08;10;385,60
Geladeira Consul Degelo Seco 1 Porta 261 Litros Branca 127v - CRA30FBANA;1.928,27;1.639,03;10;192,83
Geladeira Refrigerador Top Freezer DC51 2 Portas 475 Litros Electrolux;3.399,00;3.399,00;1;3.399,00
Refrigerador 460l Samsung 2 Portas Frost Free Rt46k6a4kwwfz;5.557,90;4.514,23;10;485,40
Geladeira Consul 1 Porta Frost Free 300 Litros CRB36ABANA;2.110,00;2.110,00;1;2.110,00
Refrigerador Consul 342 Litros 1 Porta Frost Free;2.569,00;2.279,05;10;239,90
Refrigerador Frost Free Electrolux 310L Branco 220v - TF39;3.008,72;3.008,72;1;3.008,72
Refrigerador Brastemp 500 Litros Frost Free BRM57AB;5.199,90;4.174,35;10;491,10
Geladeira / Refrigerador Brastemp 375 Litros 2 Portas Frost Free Duplex BRM45HB;2.799,00;2.799,00;1;2.799,00
Geladeira Top Freezer 402L Branco (DF44);3.709,00;2.975,07;12;266,58
Geladeira Electrolux DFX41 Frost Free 2 Portas 371L;3.599,90;3.059,91;12;283,33
Geladeira Refrigerador Brastemp 540 Litros 3 Portas Frost Free;6.999,90;6.119,91;12;566,66
Refrigerador Philco Side By Side PRF533I 437 Litros Eco Inverter;6.999,90;4.999,90;12;416,66
Refrigerador Midea Multidoor 482 Litros Inverter RF5561;5.799,00;5.799,00;1;5.799,00
Refrigerador Electrolux Frost Free 454 Litros Inox DB53X - 127 Volts;5.879,00;4.164,15;12;408,25
Geladeira Frost Free CRM50HK Duplex 410 Litros Consul;4.211,00;3.579,35;10;421,10
Geladeira Refrigerador DFN41 Duplex Degelo Automático 371 Litros Electrolux;2.499,00;2.499,00;1;2.499,00
Geladeira Brastemp Inverse Frost Free 443L 2 Portas BRE57AB Branco;4.199,00;4.199,00;1;4.199,00
Jogo Borracha Geladeira Continental Porta e Freezer Rfct460;199,90;185,91;3;66,63
Refrigerador Electrolux Frost Free 371 Litros DFX41 - 127 Volts;3.397,62;2.887,98;12;283,14
Geladeira / Refrigerador Cycle Defrost Electrolux RE31, 240 litros, Branca;1.817,93;1.817,93;1;1.817,93
Refrigerador Electrolux Top Freezer 431 Litros Frost free TF55S  220 Volts;4.726,00;3.347,30;12;328,17
Geladeira Frost Free Duplex Inverter Panasonic 483L BT55;4.099,90;3.419,91;12;316,66
Refrigerador Electrolux Top Freezer 431L Branco 220V TF55;3.492,94;2.969,00;12;291,08
Geladeira 2 Portas Frost Free 431 Litros TF55 Electrolux;4.430,82;3.182,41;12;265,20
Geladeira/Refrigerador Frost Free 400L Brastemp BRM54HK Inox 127V;4.408,89;3.747,56;10;440,89
Mini Geladeira Multilaser Retro Trivolt 4L 12V127V220V Vermelha Tv007;421,90;421,90;1;421,90
Geladeira / Refrigerador Cycle Defrost Electrolux RE31, 240 litros, Branca;0;0;0;0
Geladeira Continetal Automática Frost Free 2 Portas TC44 394 Litros;2.599,00;2.599,00;1;2.599,00
Geladeira Philco Frost Free Multi Door 4 Portas PFR500I 482 Litros;5.099,00;5.099,00;1;5.099,00
Refrigerador de 02 Portas Electrolux Frost Free com 431 Litros Inverter Top Freezer Platinum - IF55S;4.999,00;4.824,63;12;402,05
Geladeira/Refrigerador Frost Free 450 Litros Consul CRM56HB Branca 127V;3.857,64;3.278,99;10;385,76
Refrigerador Brastemp Frost Free Duplex 400 Litros com Freeze Control Branco BRM54HB  220 Volts;3.764,04;3.199,43;12;313,67
Refrigerador Electrolux Frost Free 382 Litros Top Freezer com Dispenser de Água Platinum TW42S  220 Volts;3.698,05;3.143,34;12;308,17
Geladeira Continental TC44S Frost Free 394L;3.499,90;2.969,91;12;274,99
Geladeira Samsung Evolution RT38 Inverter Duplex 385 Litros Frost Free;3.699,00;3.699,00;1;3.699,00
Geladeira Electrolux Frost Free Top Freezer 2 Portas TF55S 431 Litros;3.299,00;3.299,00;1;3.299,00
Geladeira Consul Cycle Defrost Duplex 334 litros Branca com Freezer Supercapacidade;2.609,00;2.469,00;12;205,75
Geladeira/Refrigerador Smart Side by Side ThinQ 601 Litros LG GC-L247SLUV Aço Escovado 127V;12.346,89;10.494,86;10;1.234,69
Geladeira Samsung French Door 530 Litros Inox 110V RF23R6301SR/AZ;22.798,80;15.749,10;12;1.458,25
Refrigerador 385 Litros 2 Portas RT38K5A0KWW/FZ Frost Free Samsung;4.295,90;3.489,16;10;375,18
Geladeira Refrigerador Panasonic 387 Litros Frost Free 2 Portas;2.999,90;2.519,91;12;233,33
Geladeira Refrigerador Consul 1 Porta Degelo Seco Simples 261 Litros CRA30FBANA;1.699,00;1.699,00;1;1.699,00
Geladeira Electrolux Frost Free Top Freezer 2 Portas TF56S 474 Litros;4.221,11;4.221,11;1;4.221,11
Gaveta freezer refrigerador panasonic nr-bb52;398,00;370,14;12;33,17
Geladeira Brastemp Frost Free BRM44HB 375L;2.999,90;2.609,91;12;241,66
Geladeira panasonic 2 portas bt50 aço escovado 435l - 127v;3.222,00;3.222,00;1;3.222,00
Gaveta freezer refrigerador panasonic nr-bb51;397,00;369,21;12;33,08
Geladeira/Refrigerador Brastemp 540 Litros 3 Portas Frost Free Side by Side Inverse BRO80AK;6.498,00;6.498,00;1;6.498,00
Refrigerador 474L Electrolux Top Freezer Frost Free Df56;4.882,90;3.909,72;10;420,40
Geladeira CRM56HB Frost Free Duplex 450 Litros Com Espaço Flex Consul;3.198,00;3.198,00;1;3.198,00
Geladeira/Refrigerador Philco Frost Free;9.999,00;7.504,91;10;789,99
Geladeira CRM50HB Frost Free Duplex 410 Litros Com Espaço Flex Consul;2.848,00;2.848,00;1;2.848,00
Geladeira Brastemp BRM44HK Frost Free 375 Litros Inox 220V;3.599,00;3.015,00;12;279,17
Geladeira/Refrigerador Frost Free 375L Brastemp BRM45HB Branca 127V;3.471,77;3.471,77;1;3.471,77
Refrigerador Esmaltec 276 Litros RCD34 Duplex - Branco;2.309,00;1.975,05;1;1.975,05
Geladeira/Refrigerador Smart Electrolux;27.439,00;18.619,05;10;1.959,90
Geladeira/Refrigerador Frost Free 310 Litros Electrolux TF39S Platinum 127V;3.471,77;3.471,77;1;3.471,77
Geladeira Panasonic Frost Free 480L NR-BB71PVFX Inox;4.599,00;4.534,90;10;453,49
Refrigerador Panasonic 483 Litros NR-BT55PV2X Frost Free;5.198,94;3.599,90;12;299,99
Refrigerador Multidoor Electrolux Home Pro de 03 Portas Frost Free com 538 Litros e Tecnologia Inverter, Inox - DM86X;14.627,35;12.994,00;12;1.082,83
Geladeira Refrigerador Brastemp 443 Litros 2 Portas Frost Free;4.999,90;4.229,91;12;391,66
Geladeira Continental Frost Free Branca 370L TC41;2.649,00;2.649,00;1;2.649,00
Refrigerador Metalfrio 97 Litros Counter Top para Bebidas All Black VB11RL  127 Volts;3.086,23;2.623,30;12;257,19
