Notebook;preco;preco_desconto;parcelas;valor_parcela
"Notebook Gamer Dell G15-a0500-MM15P 15.6"" FHD AMD Ryzen 5 16GB 512GB SSD NVIDIA RTX 3050 Windows 11";7.399,00;7.399,00;1;7.399,00
"Notebook Gamer Dell G15-i1000-U10P 15.6"" FHD 10ª Geração Intel Core i5 8GB 256GB SSD NVIDIA GTX 1650 Linux";6.049,00;6.049,00;1;6.049,00
"Notebook Gamer Dell G15-i1100-M30P 15.6"" FHD 11ª Geração Intel Core i5 8GB 512GB SSD NVIDIA RTX 3050 Windows 11";7.099,00;7.099,00;1;7.099,00
Notebook Gamer Acer Nitro 5, AMD Ryzen 7 4800H, 8GB, SSD 512GB, GTX 1650 Ti 4GB, 15,6, Windows 10 Home, Preto e Vermelho - AN515-44-R8HN;7.222,11;7.222,11;1;7.222,11
Notebook Gamer Predator Helios 300 PH315-53-75N8 i7 16GB 512GB SSD RTX 2060 15,6' Windows 10 - Acer;9.650,00;9.167,50;10;965,00
Notebook Gamer Aspire Nitro 5 AN517-51-78YY Intel Core I7 8GB 512GB SSD GTX 1650 17,3' Endless OS;6.599,00;6.269,05;12;549,92
Notebook Gamer Dell G5-5590-A55P Intel Core i5 8GB - 512GB SSD 15,6” Full HD NVIDIA GTX 1650 4GB;8.632,25;8.200,64;12;719,35
"Notebook Gamer Acer Aspire Nitro 5 15.6"" FHD, i5 9300H, GTX 1650, 8GB, 128GB SSD AN515-54-58CL Preto";6.499,90;5.399,10;12;499,92
Notebook Acer Gamer - Full HD, Intel i7, 16GB, SSD 512GB, GeForce RTX 2070, Windows - PH315-53-75NL;11.789,99;11.200,49;12;982,50
Notebook Gaming 82CG0005BR 3i-15IMH 8GB 512GB SSD 15.6 Polegadas Windows 10 Lenovo;6.299,00;6.299,00;1;6.299,00
"Notebook Gamer Dell G15-a0500-MM10P 15.6"" FHD AMD Ryzen 5 8GB 512GB SSD NVIDIA RTX 3050 Windows 11";6.799,00;6.799,00;1;6.799,00
"Notebook Gamer Asus, Intel  Core  i5 9300H, 16GB, 256GB SSD, 15,6"" Full HD 120Hz NVIDIA  GTX 1650, Preto - X571GT-AL888";7.203,35;6.399,00;12;533,25
"Notebook Gamer Dell G15-i1000-M10P 15.6"" FHD 10ª Geração Intel Core i5 8GB 256GB SSD NVIDIA GTX 1650 Windows 11";6.199,00;6.199,00;1;6.199,00
"Notebook Gamer 2AM E550 NVIDIA GeForce GTX 1050 3GB - FreeDOS Core i7-9700 8GB  SSD NVMe 256GB FullHD 15.6""";6.899,00;6.699,00;10;669,90
"Notebook Dell Alienware m15 R6 AW15-i1100-M10M 15.6"" FHD 11ªg Intel i7 16GB 512GBSSD RTX 3060 Win 11 + Monitor AW2521HF";16.529,00;16.329,00;12;1.360,75
Notebook Gamer Acer AN515-43-R59W - Full HD 144Hz, Ryzen 5, 8GB, SSD + HD, GeForce GTX 1650, Windows;6.819,99;6.478,99;12;568,33
Notebook Acer Nitro Ryzen 7 8GB RAM 128 Ssd 1TB;7.574,90;7.044,66;12;631,24
Notebook Gamer 82C Core i5 8GB 256GB SSD GeForce GTX 1650 4GB Tela 15.6 Linux 3i-15IMH 10300H Lenovo;9.580,23;6.638,09;12;582,29
Gigabyte Aero 15 (Laptop Gamer) i9-11980HK tela 15' UHD 4K Nvidia RTX 3080 SSD 1Tb NVMe RAM 16Gb;52.400,00;49.780,00;12;4.366,67
Palmrest Base Apoio Dell Inspiron G7 7577 7588 0c5cv0 - Azul;176,75;164,38;5;35,35
Asus Strix G15 (Laptop Gamer) Ryzen9 5900HS tela 15' FHD placa RX 6800M de 12Gb SSD 1Tb RAM 32Gb;28.100,00;26.695,00;12;2.341,67
"Notebook Gamer 2AM E550 NVIDIA GeForce GTX 1050 3GB - Windows 10 Home Core i5-9400 8GB  1TB + SSD 128GB FullHD 15.6""";6.449,00;5.999,00;10;599,90
Kit Notebook Gamer Legion 5i i7-10750H 8GB 1TB+128 SSD RTX2060 6GB 82CF0005BR + Teclado Lenovo K300;11.499,00;11.499,00;1;11.499,00
Gigabyte Aero 15 (Laptop Gamer) i9-11980HK tela 15' UHD 4K Nvidia RTX 3080 SSD 2Tb NVMe RAM 32Gb;58.200,00;55.290,00;12;4.850,00
MSI GP66 (Laptop Gamer) i7-11800H tela 15' FHD Nvidia RTX 3080 SSD 512Gb NVMe RAM 16Gb;37.700,00;35.815,00;12;3.141,67
Notebook Gamer Acer Aspire Nitro 5 AN515-54-574Q - Intel Core i5 8GB 512GB SSD 15,6” NVIDIA GTX1650;7.899,89;7.346,90;10;789,99
Asus Strix G15 (Laptop Gamer) Ryzen9 5900HS tela 15' FHD placa RX 6800M de 12Gb SSD 4Tb RAM 64Gb;35.800,00;34.010,00;12;2.983,33
MSI GP66 (Laptop Gamer) i7-11800H tela 15' FHD Nvidia RTX 3080 SSD 2Tb NVMe RAM 64Gb;45.400,00;43.130,00;12;3.783,33
Asus Zephyrus S15 (Laptop Gamer) i7-10875H tela 15' FHD RTX 2080 Super SSD 1Tb NVMe RAM 32Gb;26.400,00;25.080,00;12;2.200,00
Asus Strix G15 (Laptop Gamer) Ryzen9 5900HS tela 15' FHD placa RX 6800M de 12Gb SSD 2Tb RAM 64Gb;31.900,00;30.305,00;12;2.658,33
Notebook Acer Aspire Nitro 5 AN515-55-705U Core i7-10750H 8GB 512GB 15.6” Windows 10;10.199,00;10.199,00;1;10.199,00
Cabo Flat Notebook - Hp 240 G3;23,51;22,33;1;22,33
Notebook Gamer Acer AN515 - IPS Full HD, AMD Ryzen 5, 16GB, SSD 128GB + HD 1TB, GeForce GTX 1650;7.399,99;7.029,99;12;616,67
Notebook Gamer Acer Nitro 5 AN515-44-R54Q AMD Ryzen 5 Windows 10 Home 8GB 512GB SSD GTX 1650 15.6' F;7.646,82;6.882,14;10;764,68
Razer Blade 14 (Gamer) RTX 3070 AMD Ryzen9 5900HS tela QHD 14' SSD 2Tb NVMe RAM 16Gb;33.100,00;31.445,00;12;2.758,33
"Notebook Gamer 2AM E550 NVIDIA GeForce GTX 1050 3GB - Windows 10 Home Core i3-9100 8GB  SSD NVMe 256GB FullHD 15.6""";5.799,00;5.399,00;10;539,90
Notebook Gamer Acer Aspire Nitro 5 AN515-54-58CL Intel Core i5 8GB Ram 1TB 128SSD NVIDIA GTX1650;7.194,91;6.475,42;10;719,49
"Notebook Gamer Acer Nitro 5 AN515-54-528V 15.6"" Core i5 8GB RAM,1TB+128SSD, GTX1650 4GB Win10 Home";8.998,99;8.369,06;10;899,90
"Notebook Gamer Legion 5i Lenovo, Intel CoreT i7, 16GB, 1TB+128GB SSD, 15,6"", NVIDIA GeForce RTXT 2060 - 82CF0004BR";13.633,00;10.445,86;12;870,49
Asus Zephyrus S15 (Laptop Gamer) i7-10875H tela 15' FHD RTX 2080 Super SSD 2Tb NVMe RAM 32Gb;28.300,00;26.885,00;12;2.358,33
"Notebook Gamer Acer Nitro 5 AN515-54-528V 15.6"" Core i5 8GB RAM,1TB+128SSD, GTX1650 4GB Win10 Home";12.124,00;11.517,80;12;1.010,33
Notebook Gamer 2AM 9ºG Intel Core i5-9400 8GB 1TB+128GB SSD 3GB Tela 15 Polegadas Windows 10;5.799,00;5.799,00;1;5.799,00
Notebook Gamer 15.6pol Dell G3 3500-U10P (Core i5 10300H, 16GB DDR4, SSD 256GB nVME + HD 1TB, GTX 1650 4GB, Win 10 Pro);8.894,11;8.449,40;12;741,18
Asus Zephyrus G14 (Laptop Gamer) RTX 3060  Ryzen9 5900HS tela 14' SSD 512Gb NVMe RAM 16Gb;20.300,00;19.285,00;12;1.691,67
MSI GL66 (Laptop Gamer) i7-11800H tela 15' FHD Nvidia RTX 3060 SSD 2Tb NVMe RAM 64Gb;34.500,00;32.775,00;12;2.875,00
"Notebook Gamer 2AM E550 NVIDIA GeForce GTX 1050 3GB - FreeDOS Core i5-9400 8GB  SSD NVMe 128GB + 1TB FullHD 15.6""";5.999,00;5.449,00;10;544,90
"Notebook Gamer Asus, Intel  Core  i5 9300H, 16GB, 256GB SSD, 15,6"" Full HD 120Hz NVIDIA  GTX 1650, P";9.699,89;9.020,90;10;969,99
Asus TUF F15 (Laptop Gamer) RTX 3060 Intel 11ª geração i7-11370H tela 15' SSD 512Gb NVMe RAM 16Gb;18.500,00;17.575,00;12;1.541,67
"Notebook Gamer Dell G3 3500-M10P 15.6""   Intel Core i5 8GB 256GB SSD NVIDIA GTX 1650 Windows 10";9.499,99;9.024,99;12;791,67
MSI GP66 (Laptop Gamer) i7-11800H tela 15' FHD Nvidia RTX 3070 SSD 4Tb NVMe RAM 64Gb;44.100,00;41.895,00;12;3.675,00
Notebook Acer Gamer - Full HD, i7 10750H, 32GB, SSD 512GB + HD 2TB, GeForce RTX 2070, Windows;13.519,99;12.843,99;12;1.126,67
Notebook Gamer Acer Aspire Nitro 5 AN515-43-R9K7 - AMD Ryzen 5 8GB 1TB 256GB SSD 15,6;6.499,00;6.499,00;1;6.499,00
Razer Blade 14 (Gamer) RTX 3080 AMD Ryzen9 5900HS tela QHD 14' SSD 1Tb NVMe RAM 16Gb;37.000,00;35.150,00;12;3.083,33
Notebook Gigabyte Gamer Aorus Intel I79750H RTX 2080;38.953,08;37.005,43;12;3.246,09
MSI GP66 (Laptop Gamer) i7-11800H tela 15' FHD Nvidia RTX 3080 SSD 4Tb NVMe RAM 64Gb;49.200,00;46.740,00;12;4.100,00
Asus TUF F15 (Laptop Gamer) RTX 3060 Intel 11ª geração i7-11370H tela 15' SSD 1Tb NVMe RAM 16Gb;20.400,00;19.380,00;12;1.700,00
Notebook Dell Gamer G3-3500 - 15.6 FHD 120Hz, i7 10750H, 32GB, SSD 512GB, GeForce RTX 2060, Win 10;13.059,99;12.406,99;12;1.088,33
Notebook Gamer Acer Aspire Nitro 5 AN515-43-R9K7 - AMD Ryzen 5 8GB 1TB 256GB SSD 15,6;8.019,89;7.458,50;10;801,99
Mobile HP ZBook 15u G5 i7-8650U 16GB 512GB Win10Pro;19.710,74;17.739,67;1;17.739,67
"Notebook Dell Alienware m15 R6 AW15-i1100-M20P 15.6"" FHD 11ª ger Intel Core i7 16GB 1TB SSD RTX 3060 Win 11";13.199,00;12.999,00;12;1.083,25
"Notebook Dell Alienware m15 R6 AW15-i1100-M20M 15.6"" FHD 11ª Intel Core i7 16GB 1TBSSD RTX 3060 Win11 + Monitor AW2521HF";17.529,00;16.679,00;12;1.389,92
Notebook Gamer Acer Nitro 5 AN515-54-58CL Intel - Core i5 8GB 1TB 128GB SSD 15,6” Nvidia GTX 1650;5.999,00;5.699,05;10;599,90
Asus Strix G15 (Laptop Gamer) Ryzen9 5900HS tela 15' FHD placa RX 6800M de 12Gb SSD 512Gb RAM 16Gb;24.200,00;22.990,00;12;2.016,67
Asus TUF F15 (Laptop Gamer) RTX 3060 Intel 11ª geração i7-11370H tela 15' SSD 2Tb NVMe RAM 16Gb;22.300,00;21.185,00;12;1.858,33
Notebook Gamer Acer Aspire Nitro 5 AN515-43-R9K7 - AMD Ryzen 5 8GB 1TB 256GB SSD 15,6;7.632,12;6.959,60;12;610,49
Notebook Gamer Lenovo Ideapad L340 Intel Core i5 - 8GB 256SSD 15,6 FullHD Nvidia GTX1050 Windows 10;6.309,00;6.309,00;1;6.309,00
MSI GL66 (Laptop Gamer) i7-11800H tela 15' FHD Nvidia RTX 3060 SSD 4Tb NVMe RAM 64Gb;38.300,00;36.385,00;12;3.191,67
Razer Blade 14 (Gamer) RTX 3060 AMD Ryzen9 5900HS tela 14' SSD 1Tb NVMe RAM 16Gb;24.200,00;22.990,00;12;2.016,67
"Notebook ideapad 3i i5- 8GB 256GBSSD Placa Dedicada NVIDIA GeForce GTX 1650 4GB 15.6"" Linux Blue";7.999,99;7.599,99;10;800,00
Notebook Dell Gamer G3 - Tela 15.6 Full HD 144Hz - i7 10750H, 32GB, SSD 1TB, GeForce RTX 2060;14.449,99;13.727,49;12;1.204,17
Bateria Para Hp 240 G1 240 G2 240 G3 Oa04 OA03 OA04 L18650-oa04;223,00;207,39;3;74,33
Kit Notebook Gamer Legion 5i i7-10750H 16GB 512GB SSD RTX2060 6GB 82CF0002BR + Teclado Lenovo K300;11.599,00;11.599,00;1;11.599,00
MSI GP66 (Laptop Gamer) i7-11800H tela 15' FHD Nvidia RTX 3070 SSD 512Gb NVMe RAM 16Gb;32.600,00;30.970,00;12;2.716,67
MSI GP66 (Laptop Gamer) i7-11800H tela 15' FHD Nvidia RTX 3070 SSD 2Tb NVMe RAM 64Gb;40.200,00;38.190,00;12;3.350,00
"Notebook Gamer Legion 5i i7-10750H 8GB 1TB+128GB SSD RTX2060 6GB W10 15.6"" Full HD WVA 82CF0005BR";9.799,00;9.799,00;1;9.799,00
