Notebooks;preco;parcelas;valor_parcelas
" Air de 13&quot; 256GB SSD e M1 da Apple Prateado";9.500,00;10;950,00
"Ideacentre A340-22igm 21.5&quot; Touch-screen Computador Intel";10.672,35;10;1.067,24
"Notebook Acer Aspire 3 A315-23G-R2SE - AMD Ryzen 5-3500U, 15,6&quot;, 8Gb, 256GB SSD - Radeon 625 2GB";4.999,00;10;499,90
"Notebook Lenovo Ideapad S145-15API - AMD Ryzen 5 3500U, 15,6&quot;, 8GB, 256GB SSD - Windows 10";4.599,00;10;459,90
Notebook 2in1 Dell Inspiron 5491 i7-10510U 8GB DDR4 SSD 256GB GeForce MX230 2GB GDDR5 14.0 FHD Touch Windows 10 Home;7.370,00;10;737,00
"Notebook ASUS VivoBook X513EA-EJ1314T Intel Core i7 1165G7 16GB 512GB SSD W10 15,6&quot; LED-backlit Preto";7.999,00;10;799,90
Notebook Asus Core I5 X543UA- DM3458T 256GB Cinza;4.799,90;10;479,99
Notebook Lenovo Intel I3 BS145-15IIL 4GB Preto;4.499,90;10;449,99
Notebook Acer Aspire A515-54-72KU - Tela 15.6 Full HD, Intel i7-10510U, 8GB, SSD 512GB, Endless OS;5.350,33;10;535,03
Microsoft Surface Book 3 (Ultrabook 2-in-1) i7-1065G7 tela 13` UHD 4K GTX 1650 SSD 1Tb NVMe RAM 32Gb;35.600,00;10;3.560,00
Microsoft Surface Book 3 (Ultrabook 2-in-1) i7-1065G7 tela 15` UHD 4K GTX 1660 SSD 1Tb NVMe RAM 32Gb;42.200,00;10;4.220,00
Microsoft Surface Book 3 (Ultrabook 2-in-1) i7-1065G7 tela 13` UHD 4K GTX 1650 SSD 256Gb NVMe RAM 16Gb;24.100,00;10;2.410,00
MSI WF65 (Workstation) i7-10750H tela 15` FHD Quadro T2000 SSD 512Gb NVMe RAM 16Gb;25.500,00;10;2.550,00
MSI WF65 (Workstation) i7-10750H tela 15` FHD Quadro T2000 SSD 2Tb NVMe RAM 64Gb;33.200,00;10;3.320,00
MSI WF65 (Workstation) i7-10750H tela 15` FHD Quadro T2000 SSD 1Tb NVMe RAM 32Gb;29.400,00;10;2.940,00
Notebook Lenovo Intel I5 Quad-Core 4Gb 1Tb Hd Win 10 Pro;5.879,00;10;587,90
"Notebook Gamer Acer®, AMD Ryzen 5 3550H, 8GB, 1TB + 256GB SSD, Tela de 15,6&quot;, Aspire Nitro 5 - AN515-43-R9K7";13.245,80;10;1.324,58
"Notebook Vaio FE14 Intel Core i7, 8GB, 1TB, Tela 14&quot;, Full HD, e Windows 10 Home";7.299,99;10;730,00
"Notebook Lenovo Ideapad S145 Intel Core i7-1065G7 8GB 256GB SSD 15,6&quot; Full HD Windows 10 Home, Prata";5.681,36;10;568,14
"MacBook Pro Retina Apple 16&quot;, 16GB, Cinza Espacial, SSD 512GB, Intel Core i7, 2.6 GHz, Touch Bar e Touch ID - MVVJ2BZ/A";26.301,00;10;2.630,10
"MacBook Pro Retina Apple 16&quot;, 16GB, Prata, SSD 512GB, Intel Core i7, 2.6 GHz, Touch Bar e Touch ID - MVVL2BZ/A";27.832,22;10;2.783,22
"MacBook Pro Retina Apple 13,3&quot;, 8GB, Prata, SSD 256GB, Intel Core i5, 2.4 GHz, Touch Bar e Touch ID - MV992BZ/A";16.199,00;10;1.619,90
"Notebook Lenovo Ultrafino ideapad S145 i7 - 8565U 8GB 1TB GeForce MX 110 2GB Windows 10 15.6&quot; Full HD Dolby Audio Design Leve e Compacto, Prata";7.399,00;10;739,90
Note Acer A514-53-5239 W10h Ci5 1035G1 4Gb Ram 256Ssd 15.6;5.499,00;10;549,90
"Notebook Acer Aspire 5 A515-54-557C, Intel Core I5-10210U, 4GB RAM, 256GB SSD, Intel® UHD Graphics, 15.6&quot; Endless OS Prata";5.789,99;10;579,00
"Notebook Dell Inspiron 3501-M46PF 15.6&quot; HD 10ª Geração Intel Core i5 8GB 256GB SSD Windows Microsoft 365 Preto";4.439,00;10;443,90
"Kit Notebook Dell Inspiron 3501-M46PB 15.6&quot; HD 10ª Ger Intel Core i5 8GB 256GB SSD Windows Preto + Mochila Essential";4.339,00;10;433,90
"Notebook Dell Inspiron 3501-M46S36M 15.6&quot; HD 10ª Geração Intel Core i5 8GB 256GB SSD Windows McAfee 36 Meses";4.579,00;10;457,90
"Notebook Lenovo V15 11ª Intel Core i5-1135G7 8GB 256GB SSD 15,6&quot; Full HD Windows 10 Pro, Preto";6.999,70;10;699,97
Notebook Acer Aspire 3 Ryzen3-3250U 8Gb 256Gb Win10Home 15.6;5.959,90;10;595,99
"Notebook  Lenovo V15 Intel Core i3-10110U 4GB 256GB SSD 15,6&quot; HD Windows 10 Pro, Cinza";4.789,00;10;478,90
"Notebook Acer Aspire 3 A315-23-R291, 8GB RAM 1TB HD AMD Radeon RX Vega 8 15.6&quot; Windows 10 Preto";5.999,99;10;600,00
Notebook Acer Aspire 3 A315-23G-R759 AMD Ryzen 7 8GB RAM 256GB SSD RX Vega 10 15,6` Windows 10;8.129,99;10;813,00
"Notebook Lenovo V14 i5-1135G7 8GB 256GB SSD Intel Iris Xe Graphics Win10Pro 14&quot; FHD 82NM0003BR Preto";4.399,00;10;439,90
MacBook Pro de 13 Polegadas Cinza-espacial com 256GB e M1 da Apple;11.724,00;10;1.172,40
Notebook Asus X543UA - Tela 15.6 Full HD, Intel i3, RAM 16GB, SSD 256GB, Windows 10 - Cinza;4.738,97;10;473,90
"NOTEBOOK DELL XPS 9300 I7 10th Geração 16gb 1tb SSD Tela 12&quot; Windows 10 ";9.940,00;10;994,00
Notebook Dell Xps 9300 I5 10 Gen 8gb 512gb Ssd 13 Polegadas;7.870,00;10;787,00
Notebook ASUS X515JA-EJ592T Intel Core i5 1035G1 8GB 256GB SSD WINDOWS 15,6'' LED-backlit TFT LCD Anti-Glare Cinza;4.999,00;10;499,90
Notebook Lenovo Ideapad S145 - Tela 15.6 HD, Intel i3 8130U, RAM 12GB, SSD 240GB, Linux;0;0;0
Notebook Lenovo Ideapad S145 Intel Core i7 8GB - 256GB SSD 15,6 Full HD Windows 10;7.203,35;10;720,34
Notebook Lenovo S145 15,6? , Core I3-1005g1, 4gb, 500gb , Win 10 Prata;4.635,57;10;463,56
"Notebook Acer Aspire 5 i5 W10 Pro 8GB 512GB SSD 15.6&quot; A515-55G-53QD - Prata ";6.347,64;10;634,76
"Notebook Acer Aspire 5, Intel Core I5 , 8GB, SSD 256GB, Tela 14&quot;, Windows 10 pro  - A514-53-59QJ";5.647,04;10;564,70
"Notebook Vaio FE15 VJFE53F11X-B0711H Intel Core i7-1065G7 8GB 256GB SSD 15.6&quot; HD Windows 10 Home - Cinza Escuro";4.999,00;10;499,90
Notebook ASUS X512FB-BR501T, Intel Core i5 - 10210U, Placa de Vídeo NVIDIA MX110 2GB, 8GB, HD 1TB - Cinza;6.999,00;10;699,90
Notebook Acer Aspire 5 A515-54-557C Intel Core i5 4GB RAM 256GB SSD 15,6” Linux Endless - Prata;5.025,90;10;502,59
"Notebook Lenovo IdeaPad 3i-IML, Tela de 15.6&quot;, Intel Core i5, Windows 10, SSD 256GB, 8GB RAM, Prata";5.589,99;10;559,00
"Notebook Lenovo IdeaPad 3i-IGL, Tela de 15.6&quot;, Intel Celeron N4020, Windows 10, SSD 128GB, 4GB RAM, Prata";4.329,99;10;433,00
Notebook Lenovo 100e Windows Gen 2 Celeron N4020 4GB 128GB Windows10Home64-bits;5.860,69;10;586,07
Notebook Lenovo 300e Windows Gen 2 Intel Celeron N4100 4GB 64GB Windows10Pro64-bits;6.011,01;10;601,10
Notebook Lenovo V15 G2 ITL CORE_I5-1135G7_2.4G_4C_MB 8GB(8 256GB Windows10Pro64-bits;8.431,04;10;843,10
Notebook Lenovo V15 G2 ITL CORE_I5-1135G7_2.4G_4C_MB 8GB(8 256GB Windows10Pro64-bits;9.859,01;10;985,90
Notebook Lenovo V15 IML CORE I3-10110U 2.1G 2C MB 4GB(4_MB+0)_DDR4_2667 256GB_SSD_M.2_2242_NVME_TLC256GB_SSD_M.2_2242_NVME_TLC Windows10Pro64;6.552,13;10;655,21
Notebook Lenovo V15 IML CORE I3-10110U 2.1G 2C MB 4GB(4_MB+0)_DDR4_2667 1TB_HD_5400RPM_2.5_7MM1TB_HD_5400RPM_2.5_7MM Windows10Home64;5.499,94;10;549,99
Notebook Lenovo V15 G2 ITL CORE_I5-1135G7_2.4G_4C_MB 8GB(8 1TB Windows10Pro64-bits;9.002,22;10;900,22
Notebook Lenovo V15 G2 ITL CORE_I5-1135G7_2.4G_4C_MB 4GB(4 1TB Windows10Pro64-bits;8.130,41;10;813,04
Notebook Lenovo V15 IML CORE I3-10110U 2.1G 2C MB 8GB(4_MB+4)_DDR4_2667 1TB_HD_5400RPM_2.5_7MM1TB_HD_5400RPM_2.5_7MM Windows10Pro64;6.762,57;10;676,26
Notebook Lenovo T14 Gen 2 Intel CORE I7-1185G7 3.0G 4C VPRO MB 16GB 512GB Windows10Pro64-bits;15.420,57;10;1.542,06
Notebook Lenovo V15 IML CORE I3-10110U 2.1G 2C MB 8GB(4_MB+4)_DDR4_2667 256GB_SSD_M.2_2242_NVME_TLC256GB_SSD_M.2_2242_NVME_TLC Windows10Pro64;6.912,88;10;691,29
Notebook Gamer Aspire Nitro 5 AN515-44-R4C8 AMD Ryzen 7 16GB 1TB HD 256GB SSD GTX1650 15,6` Endless;6.999,00;10;699,90
Notebook Lenovo V15 IML CORE I3-10110U 2.1G 2C MB 4GB(4_MB+0)_DDR4_2667 500GB_HD_5400RPM_2.5_7MM500GB_HD_5400RPM_2.5_7MM Windows10Pro64;6.461,94;10;646,19
Notebook Lenovo T14 Gen 2 Intel CORE I7-1185G7 3.0G 4C VPRO MB 16GB(8 256GB Windows10Pro64-bits;16.081,94;10;1.608,19
Notebook Dell Xps 9300 I7 10 Gen 16gb 1tb Ssd Touch;9.940,00;10;994,00
Notebook Dell Inspiron 7391 Core I7 10gen 8gb 512ssd Mx250;8.400,00;10;840,00
Notebook Samsung Galaxy Book Pro 360 Intel® Core™ i7, Windows 10 Home, 16GB, 13.3'' Full HD - Azul;10.999,00;10;1.099,90
Notebook Lenovo V15 IML CORE I3-10110U 2.1G 2C MB 4GB(4_MB+0)_DDR4_2667 1TB_HD_5400RPM_2.5_7MM1TB_HD_5400RPM_2.5_7MM FreeDOS;4.808,51;10;480,85
Notebook Lenovo 300e Windows Gen 2 Intel Pentium N5000 8GB 128GB Windows10Pro64-bits;9.378,01;10;937,80
