Notebooks;preco;parcelas;valor_parcelas
Microsoft Surface Pro 7 (Tablet + teclado + caneta) i7-1065G7 tela 12` SSD 1Tb RAM 16Gb;31.700,00;10;3.170,00
Microsoft Surface Pro X (Tablet apenas) Microsoft SQ1 tela 13` SSD 512Gb RAM 16Gb;24.100,00;10;2.410,00
Microsoft Surface Pro 7 (Tablet + teclado + caneta) i7-1065G7 tela 12` SSD 512Gb RAM 16Gb;29.100,00;10;2.910,00
Microsoft Surface Pro 7 (Tablet + teclado + caneta) i7-1065G7 tela 12` SSD 256Gb RAM 16Gb;24.000,00;10;2.400,00
Microsoft Surface Pro 7 (Tablet apenas) i7-1065G7 tela 12` SSD 512Gb RAM 16Gb;25.300,00;10;2.530,00
Notebook Acer Swift 3 SF314-42-R4EQ AMD Ryzen 5 8GB 512GB SSD 14` Windows 10;6.199,00;10;619,90
"Notebook Samsung Book E40 Intel Core i3-1115G4 4GB 256GB SSD 15,6&quot; Full HD Windows 10 Home, Prata";4.499,17;10;449,92
Microsoft Surface Pro X (Tablet + teclado + caneta) Microsoft SQ1 tela 13` SSD 256Gb RAM 16Gb;24.100,00;10;2.410,00
"Kit Notebook Ultrafino Dell Inspiron i5402 14&quot; Full HD 11ª Ger. Intel Core i5 8GB 256GB SSD Windows 10 + Capa Essential";5.149,00;10;514,90
Kit Notebook Ultrafino Dell Inspiron i5502-M30SB 15.6 FHD 11ª G Intel Core i7 8GB 256GB SSD NVIDIA GeForce W10 + Mochila;6.539,00;10;653,90
"Notebook Ultrafino Dell Inspiron i5502-M30S 15.6&quot; Full HD 11ª G. Intel Core i7 8GB 256GB SSD NVIDIA GeForce Windows 10";6.399,00;10;639,90
"Notebook ASUS X515JA-EJ1045T Intel Core i5 1035G1 8GB 512GB SSD W10 15,6&quot; LED-backlit Cinza";5.499,00;10;549,90
Notebook Acer Aspire A315-56-569F - Tela 15.6, Intel i5 1035G1, 8GB, SSD 256GB, Endless OS;4.957,31;10;495,73
Notebook Dell i15-3501 - Tela 15.6, Intel i5 1035G1, 16GB, SSD 256GB + HD 2TB, Windows 10 - Preto;0;0;0
Note Sam Np550xda-Ko7br Cel .;4.589,99;10;459,00
Notebook Samsung Galaxy Book S NP767 Intel® Core i5-L16G7, Windows 10 Home, RAM 8GB, 256GB SSD, Tela 13.3`` Full HD LED Mercury Gray;6.999,90;10;699,99
Notebook Dell i14-5402-M10S - Tela 14 Full HD, Intel i5 1135G7, RAM 8GB, SSD 256GB, Windows 10;5.132,09;10;513,21
Mac book Air Late 2020 13.3/ 256 Gb Mgn63Ll/A - Space Grey;8.829,00;10;882,90
"Notebook Acer Aspire 3 A315-23-R3L9 Ryzen 7-3700U  8GB 256GB SSD 15,6&quot; HD Windows 10 Home, Preto";5.689,00;10;568,90
"MacBook Air Apple M1  8GB  256GB SSD 13&quot; macOS, Cinza Espacial - MGN63BZ/A";15.163,33;10;1.516,33
Notebook Asus X543UA - Tela 15.6 Full HD, Intel i5 8250U, 8GB, SSD 256GB, Windows 10;0;0;0
Notebook Dell Inspiron 3501 - Intel i3 1005G1, RAM 8GB, SSD 480GB, Windows 10 + Office 365;4.597,05;10;459,70
"Notebook Lenovo BS145-15IIL Intel Core i3-1005G1 4GB 500GB 15,6&quot; HD Windows 10 Pro, Preto+ Adaptador RJ45";6.589,99;10;659,00
Notebook Acer Aspire 5, 15.6” Intel Core i5, 8GB RAM, 256GB SSD, Windows 10 Home ;5.348,93;10;534,89
Notebook Dell Inspiron 3501 - Intel i3 1005G1, RAM 12GB, SSD 480GB, Windows 10 + Office 365;0;0;0
Notebook Asus X543UA - Tela 15.6 Full HD, Intel i5 8250U, 16GB, SSD 256GB, Windows 10;5.241,16;10;524,12
Notebook Dell Inspiron 3501 - Intel i3 1005G1, RAM 8GB, SSD 240GB, Windows 10 + Office 365;4.291,38;10;429,14
Notebook Asus X543UA - Tela 15.6 Full HD, Intel i5 8250U, 16GB, SSD 1TB, Windows 10;6.551,20;10;655,12
Notebook Asus X543UA - Tela 15.6 Full HD, Intel i5 8250U, 32GB, SSD 1TB, Windows 10;7.424,56;10;742,46
"Kit Notebook Dell Inspiron 3501-M60PM 15.6&quot; HD 11ª Geração Intel Core i7 8GB 256GB SSD Windows 10 Preto + Mouse";5.599,00;10;559,90
Mac book Apple Pro Retina Intel Core i7, 16GB, SSD 512GB, AMD Radeon Pro 5300M 4GB, macOS, 16´, Prata - MVVL2;34.446,00;10;3.444,60
Mac Book Pro Retina Apple i5, 16GB, SSD 1TB, macOS, 13.3 Prata MWP82BZ/A;33.998,00;10;3.399,80
Mac book Apple Pro Retina Intel Core i7, 16GB, SSD 512GB, AMD Radeon Pro 5300M 4GB, macOS0, 16´, Cinza Espacial - MVVJ2;34.490,00;10;3.449,00
Notebook Lenovo ThinkPad L390 Intel® Core™ i5-8365U vPro -SSD 256GB M.2 , Memória 8 GB DDR4, Tela Full HD IPS;4.999,00;10;499,90
Notebook Asus Core i5-8250U 8GB 256GB SSD Tela Full HD 15.6 Windows 10 X543UA-DM3457T;5.689,99;10;569,00
"Notebook ideapad Gaming 3i i5-10300H 8GB 256GBSSD Placa Dedicada NVIDIA® GeForce® GTX 1650 4GB 15.6&quot; FHD WVA Linux 82CGS00100 Chameleon Blue";7.999,99;10;800,00
"Notebook Acer A515-55-511q I5-1035g1 8gb 256gb Ssd 15,6&quot; Win10 Home";5.299,90;10;529,99
Notebook Acer Aspire 3 A315-23-R291 Ryzen 5 8GB 1TB HD Radeon Vega 8 15,6` Windows 10;0;0;0
"Notebook Lenovo IdeaPad Flex 5i i5-1135G7 8GB 256GB SSD W10 14&quot; FHD WVA Intel Iris® Xe";4.999,00;10;499,90
"Notebook ASUS VivoBook X543UA-DM3457T Intel Core i5 8250U 8GB 256GB SSD W10 15,6&quot; LED-backlit Cinza Escuro";4.799,00;10;479,90
"Notebook Acer Aspire 5 AN515-54-528V Intel Core I5-9300H 8GB RAM 1TB HD 128GB SSD 15.6&quot; NVIDIA® GeForce GTX? 1650 Windows 10 Preto / Vermelho";9.899,99;10;990,00
Notebook Acer Aspire A315-56-569F - Tela 15.6, Intel i5 1035G1, 20GB, SSD 256GB, Endless OS;5.787,01;10;578,70
Notebook Acer A514 - Tela 14, Intel i5 1035G1, 20GB, SSD 1TB, GeForce MX350, Windows 10;7.097,05;10;709,70
Notebook Dell i15-3501 - Tela 15.6, Intel i5 1035G1, 16GB, SSD 256GB, Windows 10 - Preto;0;0;0
Notebook Gamer Acer PH315 - Full HD, i7 10750H, 64GB, SSD 512GB + HD 2TB, GeForce RTX 2070, Windows;15.612,34;10;1.561,23
Notebook Dell i15-3501 - Tela 15.6, Intel i5 1035G1, 32GB, SSD 256GB, Windows 10 - Preto;6.769,54;10;676,95
Notebook Acer Aspire A315-56-569F - Tela 15.6, Intel i5 1035G1, 32GB, SSD 256GB, Endless OS;6.660,37;10;666,04
Notebook Acer A514 - Tela 14, Intel i5 1035G1, 20GB, SSD 256GB + HD 1TB, GeForce MX350, Windows 10;6.332,86;10;633,29
Notebook Acer A514 i5 1035G1, RAM 12GB, SSD 256GB, GeForce MX350, Windows 10;0;0;0
Notebook Acer A514 - Tela 14, Intel i5 1035G1, 32GB, SSD 1TB, GeForce MX350, Windows 10;7.970,41;10;797,04
Notebook Acer A514 i5 1035G1, RAM 20GB, SSD 256GB, GeForce MX350, Windows 10;5.787,01;10;578,70
Notebook ThinkPad X1 Carbon i7 - 16GB RAM - 2T ;28.432,89;10;2.843,29
Note Sam Np550xda-Kf6br Ci5;8.855,99;10;885,60
Note V15 Iml I3-10110U 4Gb 500G B Hd 15.6`` Win 10 Pro 1 Ano Dp;6.589,99;10;659,00
Notebook Dell i15-3501 - Tela 15.6, Intel i5 1035G1, 32GB, SSD 1TB, Windows 10 - Preto;8.079,59;10;807,96
Notebook Acer Aspire A315-56-569F - Tela 15.6, Intel i5 1035G1, 12GB, SSD 256GB, Endless OS;0;0;0
Notebook Lenovo Ideapad 3I 15 I3 4GB 1TB W10;7.999,99;10;800,00
Notebook Acer A514 - Tela 14, Intel i5 1035G1, 32GB, SSD 256B, GeForce MX350, Windows 10;6.769,54;10;676,95
MSI Summit E13 (Ultrabook 2-in-1) Intel 11ª geração i7-1185G7 touch 13` vídeo Iris Xe SSD 512Gb RAM 16Gb;21.500,00;10;2.150,00
Samsung Galaxy Pro 360  (Ultrabook 2-in-1) i7-1165G7 tela 15` QLED SSD 512Gb NVMe RAM 16Gb;20.400,00;10;2.040,00
Samsung Galaxy Pro 360  (Ultrabook 2-in-1) i7-1165G7 tela 15` QLED SSD 1Tb NVMe RAM 16Gb;22.300,00;10;2.230,00
"Notebook Vaio FE14 VJFE42F11X-B0461H Intel Core i5-10210U 8GB 1 TB 2,5&quot; HDD14&quot; Full HD Windows 10 Home - Chumbo Escuro";4.499,00;10;449,90
Notebook ASUS Zenbook UX434FAC-A6340T Intel Core i7 10510U 8GB 256GB SSD W10 14'' LED Glare Azul Escuro;8.999,00;10;899,90
Notebook ASUS X571GT-AL888T Intel Core i5 9300H 16GB 256GB SSD GTX1650 W10 15,6'' Led Backlight Anti-Glare 120Hz Preto;7.499,00;10;749,90
Notebook Dell Inspiron i15-3501 - Tela 15.6, Intel i3 1005G1, 12GB, SSD 256GB, Windows 10 - Outlet;0;0;0
All In One Ultra 4Gb Ram 500Gb Hdd 23,8 Pol. Branco - Ub821;3.864,23;10;386,42
MacBook Pro de 13 Polegadas Cinza-espacial com 512GB e M1 da Apple;13.733,00;10;1.373,30
"Notebook Lenovo Ultrafino ideapad S145 Ryzen 7 8GB 512GB SSD W10 15.6&quot; Full HD 81V70009BR Prata";5.937,90;10;593,79
Notebook Acer Aspire 5 Intel Core i5 10210U 4GB RAM SSD 256GB Tela 15.6´ Endless OS - A515-54-557C;5.307,90;10;530,79
HP Envy x360 (Ultrabook 2-in-1) Intel 11ª geração i7-1165G7 tela 15` FHD vídeo Iris Xe SSD 512Gb NVMe RAM 16Gb;14.600,00;10;1.460,00
Asus ZenBook UX371EA (Ultrabook 2-in-1) Intel 11ª geração i7-1165G7 tela 13` UHD 4K vídeo Iris Xe SSD 1Tb NVMe RAM 16Gb;20.200,00;10;2.020,00
HP Spectre x360 (Ultrabook 2-in-1) Intel 11ª geração i7-1165G7 tela 15` UHD 4K vídeo Iris Xe SSD 1Tb NVMe RAM 16Gb;23.600,00;10;2.360,00
Notebook Dell Inspiron 5301 Core I7 11gen 8gb 512ssd;7.935,00;10;793,50
Notebook Acer Swift 3 14 Amd R5 Hexa-Core 8Gb 512Gb Ssd W10;7.699,00;10;769,90
Notebook Acer Swift 3 14 Amd R5 Hexa-Core 8Gb 512Gb Ssd W10;7.699,00;10;769,90
HP Envy x360 (Ultrabook 2-in-1) Intel 11ª geração i7-1165G7 tela 15` FHD vídeo Iris Xe SSD 2Tb NVMe RAM 64Gb;22.300,00;10;2.230,00
HP Envy x360 (Ultrabook 2-in-1) Intel 11ª geração i7-1165G7 tela 15` FHD vídeo Iris Xe SSD 1Tb NVMe RAM 32Gb;18.500,00;10;1.850,00
Asus ZenBook UX371EA (Ultrabook 2-in-1) Intel 11ª geração i7-1165G7 tela 13` UHD 4K vídeo Iris Xe SSD 2Tb NVMe RAM 16Gb;22.200,00;10;2.220,00
HP Spectre x360 (Ultrabook 2-in-1) Intel 11ª geração i7-1165G7 tela 15` UHD 4K vídeo Iris Xe SSD 512Gb NVMe RAM 16Gb;21.700,00;10;2.170,00
HP Spectre x360 (Ultrabook 2-in-1) Intel 11ª geração i7-1165G7 tela 15` UHD 4K vídeo Iris Xe SSD 2Tb NVMe RAM 16Gb;25.500,00;10;2.550,00
Notebook Acer A514-53G-51BK - Tela 14, Intel i5 1035G1, 8GB, SSD 256GB, GeForce MX350, Windows 10;4.804,48;10;480,45
Notebook Dell Inspiron i15-3501-M46P - Tela 15.6, Intel i5 1035G1, RAM 8GB, SSD 256GB, Windows 10;4.804,48;10;480,45
Notebook Samsung Book Core 13 NP550XDA 4GB 1TB;4.799,90;10;479,99
Notebook NP550 E20 Samsung Celeron 4GB/500GB W10;5.779,99;10;578,00
Notebook Lenovo E14 Gen 2 Amd Ryzen 5 4500u Windows 10 Pro;8.386,09;10;838,61
Notebook Dell i15-3583-AS90P - Tela 15.6, Intel i7 8565U, 8GB, SSD 256GB, Windows 10 - Preto;5.787,01;10;578,70
Notebook Lenovo Ideapad 3i - Tela 15.6, Intel i5 10210U, 8GB, SSD 256GB, Windows 10 - 82BS0005BR;4.258,62;10;425,86
Notebook Lenovo Bs145 Intel I3-1005g1 8gb 500gb 15.6  W10pro;4.644,90;10;464,49
Notebook Lenovo Bs14515Iil 15,6 Hd I3-1005G1 4Gb 500Gb;7.385,22;10;738,52
Notebook ASUS ROG Zephyrus Duo 15 GX550LXS-HF157T Intel Core i7 10875H 16GB 512GB SSD RTX2080 W10 15,6'' LED 300Hz IPS Cinza;48.999,00;10;4.899,90
"Notebook S145 Core I3 8130u 4gb Ram 1tb Linux Tela 15,6&quot;-  81xms00000 -  Lenovo ";4.288,44;10;428,84
Notebook Lenovo BS145-15IIL 82HB0001BR Intel Core i3 500GB HD 4GB RAM 15.6” HD Windows 10 - Preto;4.603,90;10;460,39
Notebook Vaio FE14 14 Polegadas Intel I5-10210U Windows 10 Home 8Gb SSD 256GB	;5.997,99;10;599,80
Notebook Lenovo Idealpad S145-15Ilw Intel Core I5 8Gb 1Tb;5.849,00;10;584,90
Notebook Dell Inspiron 5406 2x1 Core I7 11 Gen 8gb 256ssd;7.485,00;10;748,50
"Notebook Acer Aspire 5 A515-56-327T Intel Core i3-1115G4 4GB 256GB SSD M.2 15,6&quot; Full HD Windows 10 Home, Cinza";4.601,68;10;460,17
Notebook Dell Vostro 5402 I5 11th 8gb 256ssd Mx330;6.550,00;10;655,00
"Notebook Gamer 2AM E550 NVIDIA GeForce GTX 1050 3GB - FreeDOS Core i7-9700 8GB | SSD NVMe 256GB FullHD 15.6&quot; 2 A.M.";6.699,00;10;669,90
"MacBook Pro Retina Apple 13,3&quot;, 16GB, Cinza Espacial, SSD 512GB, Intel Core i5, 2.0 GHz, Touch Bar e Touch ID - MWP42BZ/A";21.954,44;10;2.195,44
Notebook  A315-42g Ryzen5/8gb/1tb/15,6 Pt Acer;5.516,60;10;551,66
"Notebook Gamer 2 A.M. E550 CI7161128GBSEFI Intel Core i7-9700 16GB 128GB SSD M.2 15.6&quot; Full HD Retroiluminado FreeDOS - Chumbo Escuro";6.999,00;10;699,90
"Notebook Brazil Pc 15,6&quot; Full Hd Intel Core I5 8 Gb de Ram Hd 500 Gb";4.556,09;10;455,61
Notebook Lenovo Bs145 Intel I5-1035G1 4Gb 1Tb 15.6 W10 Pro;6.099,90;10;609,99
Notebook Acer Gamer - Full HD, Intel i7, 16GB, SSD 512GB, GeForce RTX 2070, Windows - PH315-53-75NL;11.136,35;10;1.113,64
Notebook Lenovo S145 Ryzen 3-3200U 8Gb 256Gb W10 15,6 Prata;4.578,51;10;457,85
Notebook Lenovo Bs145 Intel I3-1005G1 8Gb 500Gb 15.6 W10Pro;5.053,51;10;505,35
Notebook Lenovo Bs145 Intel I5-1035G1 4Gb 1Tb 15.6 W10 Pro;6.073,51;10;607,35
"MacBook Pro Retina Apple 13,3&quot;, 16GB, Prata, SSD 1TB, Intel Core i5, 2.0 GHz, Touch Bar e Touch ID - MWP82BZ/A";24.243,33;10;2.424,33
Asus ZenBook UX363 (Ultrabook 2-in-1) Intel 11ª geração i7-1165G7 tela 13` vídeo Iris Xe SSD 512Gb NVMe RAM 16Gb;16.400,00;10;1.640,00
Notebook Samsung S51 256gb Ssd 4gb,Processador Intel Core I3;4.881,45;10;488,14
"Notebook ASUS VivoBook X515JF-EJ214T Intel Core i5 1035G1 8GB 256GB SSD W10 15,6&quot; LED-backlit Cinza";6.299,00;10;629,90
"Notebook Acer Aspire 5 A515 Tela 15,6&quot; 256GB SSD 4GB RAM";5.619,90;10;561,99
"Notebook Ultrafino Dell Inspiron i5502-M40S 15.6&quot; Full HD 11ª G. Intel Core i7 16GB 512GB SSD NVIDIA GeForce Windows 10";7.499,00;10;749,90
"Kit Notebook Ultrafino Dell Inspiron i5502-M40SB 15.6&quot; FHD 11ª Intel Core i7 16GB 512GB SSD NVIDIA GeForce W10 + Mochila";7.769,00;10;776,90
MSI Summit E14 (Ultrabook) Intel 11ª geração i7-1185G7 tela 14` UHD 4K Nvidia GTX 1650Ti Max-Q SSD 2Tb RAM 16Gb;31.800,00;10;3.180,00
MSI Summit E14 (Ultrabook) Intel 11ª geração i7-1185G7 tela 14` UHD 4K Nvidia GTX 1650Ti Max-Q SSD 512Gb RAM 16Gb;24.200,00;10;2.420,00
Asus UX435 (Ultrabook) Intel 11ª geração i7-1165G7 tela 14` FHD Nvidia MX450 SSD 2Tb RAM 16Gb;24.200,00;10;2.420,00
MSI Summit E14 (Ultrabook) Intel 11ª geração i7-1185G7 tela 14` UHD 4K Nvidia GTX 1650Ti Max-Q SSD 1Tb RAM 16Gb;28.000,00;10;2.800,00
Asus UX435 (Ultrabook) Intel 11ª geração i7-1165G7 tela 14` FHD Nvidia MX450 SSD 512Gb RAM 16Gb;20.300,00;10;2.030,00
Asus TP470 (Ultrabook 2-in-1) Intel 11ª geração i7-1165G7 tela 14` FHD vídeo Iris Xe SSD 1Tb NVMe RAM 16Gb;17.100,00;10;1.710,00
MSI WS66 (Workstation) i7-10875H tela 15` FHD Quadro RTX3000 SSD 512Gb NVMe RAM 16Gb;33.200,00;10;3.320,00
Asus TP470 (Ultrabook 2-in-1) Intel 11ª geração i7-1165G7 tela 14` FHD vídeo Iris Xe SSD 2Tb NVMe RAM 16Gb;19.000,00;10;1.900,00
MSI WS66 (Workstation) i7-10875H tela 15` FHD Quadro RTX3000 SSD 1Tb NVMe RAM 32Gb;37.000,00;10;3.700,00
Asus TP470 (Ultrabook 2-in-1) Intel 11ª geração i7-1165G7 tela 14` FHD vídeo Iris Xe SSD 512Gb NVMe RAM 16Gb;15.200,00;10;1.520,00
MSI WS66 (Workstation) i7-10875H tela 15` FHD Quadro RTX3000 SSD 2Tb NVMe RAM 64Gb;40.900,00;10;4.090,00
Asus UX435 (Ultrabook) Intel 11ª geração i7-1165G7 tela 14` FHD Nvidia MX450 SSD 1Tb RAM 16Gb;22.200,00;10;2.220,00
"Notebook Asus, Intel® CoreT i7 1165G7, 8GB, 512GB, Tela de 15,6&quot;, NVIDIA® MX330, Preto, VivoBook 15 - X513EP-EJ231T";6.699,00;10;669,90
LENOVO BS145 82HB000NBR I5 DECIMA GERAÇÃO 4GB Preto;5.579,90;10;557,99
MacBook Air pple 13,3, 8GB, SSD 256GB, Processador M1, Dourado - MGND3BZ/A;11.110,00;10;1.111,00
MacBook Air pple 13,3, 8GB, SSD 256GB, Processador M1, Cinza Espacial - MGN63BZ/A;11.110,00;10;1.111,00
MacBook Pro Retina pple 13,3, 8GB, Prata, SSD 512GB, Processador M1, Touch Bar e Touch ID - MYDC2BZ/A;18.187,78;10;1.818,78
Notebook Asus X515JF-EJ153T - Full HD, Intel i5 1035G1, 8GB, SSD 256GB, GeForce MX130, Windows 10;4.498,80;10;449,88
Notebook/Tablet Acer Switch Alpha 12 12 I3-6100U;6.894,25;10;689,42
Notebook Lenovo Intel Core I3 500gb Hd 4gb Ram 15.6 Preto;4.557,90;10;455,79
Notebook Acer N4000 4Gb 1Tb 15,6` Win 10 + Office 2010;4.839,80;10;483,98
Notebook Samsung Book Intel® Core™ i7, 8GB, 1TB HD, Intel® Iris® Xe, 15.6'' Full HD LED;5.699,00;10;569,90
"Mac Book Air, Chip M1, 8GB, 512GB SSD, Tela de 13&quot;, Cinza - MGN73BZ/A";22.199,00;10;2.219,90
"Mac Book Air, Chip M1, 8GB, 256GB SSD, Tela de 13&quot;, Prata - MGN93BZ/A";18.233,00;10;1.823,30
Notebook Dell i15 3501-A70P - Tela 15.6, Intel i7 1165G7, 8GB, SSD 256GB, GeForce MX330, Windows 10;6.223,69;10;622,37
"Notebook Gamer Dell G15-i1100-M30PB 15.6&quot; FHD 11ª Ger Intel Core i5 8GB 512GB SSD NVIDIA RTX 3050 Windows 11 + Mochila";7.379,00;10;737,90
"Kit Notebook Dell Inspiron 3501-M60PB 15.6&quot; HD 11ª Geração Intel Core i7 8GB 256GB SSD Windows 10 Preto + Mochila";5.639,00;10;563,90
Notebook Intel Core i5 10ª G 4GB 1TB HD Windows Pro Tela 15.6 ;5.879,00;10;587,90
"Notebook Lenovo 14&quot; Fhd Flex 5i-14iil I7-1065g7/ 8gb/ 256gb Ssd/ W10 Home";8.100,00;10;810,00
Notebook Lenovo Bs145 Intel I3-1005G1 4Gb 256Gb 15.6 W10 Pro;5.283,51;10;528,35
Notebook Lenovo B330 Intel I5 8Gb Ssd 256Gb Win10 Pro Preto;6.028,51;10;602,85
Asus TUF F15 (Laptop Gamer) RTX 3060 Intel 11ª geração i7-11370H tela 15` SSD 1Tb NVMe RAM 16Gb;20.400,00;10;2.040,00
Asus TUF F15 (Laptop Gamer) RTX 3060 Intel 11ª geração i7-11370H tela 15` SSD 512Gb NVMe RAM 16Gb;18.500,00;10;1.850,00
Asus TUF F15 (Laptop Gamer) RTX 3060 Intel 11ª geração i7-11370H tela 15` SSD 2Tb NVMe RAM 16Gb;22.300,00;10;2.230,00
Notebook 8gb 240gb Ssd I5-8250u Win10 Preto;4.318,90;10;431,89
"Notebook Ultraportátil Dell XPS 13 9310-MS30S 13.4&quot; UltraHD Touch 11ª Geração Intel Core i7 16GB 1TB SSD Windows10 Prata";12.199,00;10;1.219,90
"Notebook Vaio FE15 I3-8130U RAM 4GB SSD 256GB 15,6&quot; Prata";4.619,90;10;461,99
Notebook Lenovo BS145 Intel i3 1005G1 4GB 500GB Windows 10 Home 15.6´ HD Preto - 82HB0001BR;4.260,90;10;426,09
"Notebook Compaq Presario CQ-29 Intel i5 5257u 8GB DDR3 SSD 480GB Tela 15.6&quot; Full HD Windows 10 Home ";5.149,90;10;514,99
Samsung Galaxy Pro  (Ultrabook) i7-1165G7 tela 15` AMOLED SSD 4Tb NVMe RAM 16Gb;26.800,00;10;2.680,00
Samsung Galaxy Pro  (Ultrabook) i7-1165G7 tela 15` AMOLED SSD 1Tb NVMe RAM 16Gb;21.000,00;10;2.100,00
Samsung Galaxy Pro  (Ultrabook) i7-1165G7 tela 15` AMOLED SSD 2Tb NVMe RAM 16Gb;23.000,00;10;2.300,00
Samsung Galaxy Pro  (Ultrabook) i7-1165G7 tela 13` AMOLED SSD 1Tb NVMe RAM 8Gb;19.600,00;10;1.960,00
Samsung Galaxy Pro  (Ultrabook) i7-1165G7 tela 13` AMOLED SSD 4Tb NVMe RAM 8Gb;25.400,00;10;2.540,00
Samsung Galaxy Pro  (Ultrabook) i7-1165G7 tela 13` AMOLED SSD 2Tb NVMe RAM 8Gb;21.500,00;10;2.150,00
Samsung Galaxy Pro  (Ultrabook) i7-1165G7 tela 15` AMOLED SSD 512Gb NVMe RAM 16Gb;19.100,00;10;1.910,00
Samsung Galaxy Pro  (Ultrabook) i7-1165G7 tela 13` AMOLED SSD 512Gb NVMe RAM 8Gb;17.700,00;10;1.770,00
Notebook Acer Aspire 5 A514-53G-571X Intel Core I5 8GB 512GB SSD MX 350 14` Windows 10;6.584,00;10;658,40
"Notebook Samsung Book Intel Core I7-1165G7 8GB 256GB SSD Intel Iris Xe W10 15.6&quot; Cinza Chumbo";4.899,00;10;489,90
Notebook Acer Aspire 5 A515-54G-53XP Intel Core I5 8GB 256GB SSD MX250 15,6` Windows 10;5.589,00;10;558,90
Note Hp 250 G8 I5-1035G1 W10p 8Gb 256B 1B;8.389,99;10;839,00
Notebook Gamer Aspire Nitro 5 AN515-44-R8HN AMD Ryzen 7 8GB 512GB SSD GTX1650 TI 15,6` Windows 10;6.999,00;10;699,90
Notebook Acer Intel Core i5 10ªG Quad-Core 8GB RAM 256GB SSD Windows 10 Tela 14;4.969,00;10;496,90
Microsoft Surface Book 3 (Ultrabook 2-in-1) i7-1065G7 tela 15` UHD 4K GTX 1660 SSD 256Gb NVMe RAM 16Gb;28.100,00;10;2.810,00
"Notebook Intel Core i5-8250U 4GB RAM 256GB SSD VAIO FE14 14&quot; Linux";4.499,00;10;449,90
"Notebook Lenovo IdeaPad 3i, Intel Core i3-10110U, 4GB RAM, 256GB SSD, Windows 10, 15.6&quot; 82BSS006BR Prata";4.408,48;10;440,85
"Notebook Lenovo Ultrafino IdeaPad 3i i3-10110U 4GB 1TB Windows 10 15.6&quot; 82BS0002BR Prata";4.589,99;10;459,00
"Notebook Acer AspireA315-54K-30U, Intel Core I3, 4GB RAM, 256GB SSD, 15,6&quot;, Windows 10 Home Gray";5.289,99;10;529,00
"Notebook Lenovo Ultrafino IdeaPad 3i i5-10210U 8GB 256 GB SSD Windows 10 15.6&quot; 82BS0005BR Prata";4.829,00;10;482,90
"Notebook Lenovo Ideapad 3i-iml 15,6&quot; Hd/ 82bs0005br/ I5-10210u/ 8gb/ 256gb Ssd/ Win 10 Home";4.638,47;10;463,85
Notebook lenovo b330-15ikbr core i5-8250u / 8gb /1tb win 10 pro;5.500,00;10;550,00
"Notebook Lenovo BS145 i5 8GB 256GB SSD MX110 2GB Windows 10 Pro 15.6&quot; Antirreflexo 81V8000GBR Preto";4.999,00;10;499,90
"Notebook Aspire 5 A514 Tela 14&quot; 256GB SSD 4GB RAM";5.499,00;10;549,90
MacBook Air Cinza-espacial com 512GB e M1 da Apple;11.527,00;10;1.152,70
"Notebook Ultraportátil Dell Inspiron 5301-M20S 13.3&quot; Full HD 11ª G Intel Core i5 8GB 512GB SSD+32GB Intel Optane Win 10";6.099,00;10;609,90
"Notebook Ultraportátil Dell Inspiron 5301-M10S 13.3&quot; Full HD 11ª Geração Intel Core i5 8GB 256GB SSD Windows 10 Prata";5.599,00;10;559,90
"Notebook Ultraportátil Dell Inspiron 5301 13.3&quot; Full HD 11ª G Intel Core i7 8GB 512GB SSD+32GB Intel Optane Win 10 Mouse";6.449,00;10;644,90
Notebook Everex Exbook Intel Core i5-5257U, 4GB DDR3, Tela 15.6”, 240GB SSD e Windows 10;6.129,99;10;613,00
Note Acer A515-55G-51Hj W10h I5 1035G1 8Gb Ram Nvidia Mx350 15.6;7.129,99;10;713,00
"Kit Notebook Ultrafino Dell Inspiron i5502-M10SF 15.6&quot; FHD 11ª G. Intel Core i5 8GB 256GB SSD Windows 10 Microsoft 365";5.339,00;10;533,90
"Kit Notebook Ultrafino Dell Inspiron i5402 14&quot; FHD 11ª G Intel Core i7 16GB 256GB SSD NVIDIA GeForce Win 10 + Mochila";6.739,00;10;673,90
"Notebook Ultrafino Dell Inspiron i5402-M20S 14&quot; Full HD 11ª Ger. Intel Core i5 8GB 256GB SSD NVIDIA GeForce Windows 10";5.499,00;10;549,90
"Kit Notebook Ultrafino Dell Inspiron i5402 14&quot; FHD 11ª G Intel Core i5 8GB 256GB SSD NVIDIA GeForce Win 10 Microsoft 365";5.739,00;10;573,90
"Notebook Ultrafino Dell Inspiron i5502-M10S 15.6&quot; Full HD 11ª Geração Intel Core i5 8GB 256GB SSD Windows 10 Prata";5.799,00;10;579,90
Kit Notebook Ultrafino Dell Inspiron i5502-M40SF 15.6 FHD 11ª Intel Ci7 16GB 512GB SSD NVIDIA GeForce W10 Microsoft 365;7.129,00;10;712,90
"Kit Notebook Ultrafino Dell Inspiron i5502 15.6&quot; FHD 11ª G. Intel Ci5 8GB 256GB SSD NVIDIA GeForce Win 10 Microsoft 365";5.639,00;10;563,90
"Kit Notebook Ultrafino Dell Inspiron i5402-M10SF 14&quot; Full HD 11ª G Intel Core i5 8GB 256GB SSD Windows 10 Microsoft 365";5.339,00;10;533,90
