Geladeira;preco;parcelas;valor_parcelas
Refrigerador Brastemp Frost Free Duplex 462 Litros com Turbo Control Branca BRM56AB – 127 Volts;4.292,32;12;357,69
Refrigerador Brastemp Frost Free Duplex 462 Litros com Turbo Control Inox BRM56AK – 220 Volts;4.738,97;12;394,91
Geladeira 382l Electrolux Tw42s Inox 127V;3.849,99;12;320,83
Refrigerador Inverse 2 portas Frost Free, 397Litros CRE44AB - Consul;4.199,00;12;349,92
Geladeira Consul 410l Duplex Frost Free 2 Portas Branco 220v;4.012,90;12;334,41
Geladeira/Refrigerador Frost Free 310L Electrolux 127V;3.199,99;12;266,67
Refrigerador Brastemp Frost Free Duplex 462 Litros com Turbo Control Branca BRM56AB – 220 Volts;4.291,05;12;357,59
Refrigerador Consul Frost Free Duplex 410 Litros com Espaço Flex e Controle Interno de Temperatura Branco CRM50HB – 127 Volts;3.397,92;12;283,16
Refrigerador Metalfrio 97 Litros Counter Top para Bebidas All Black VB11RL – 220 Volts;3.085,89;12;257,16
Adega PiuBella 100 82 Litros Preta Venax 220v;3.329,00;12;277,42
Refrigerador Panasonic BT50 Top Freezer 2 Portas Frost Free 435L Aço Escovado 127V NR-BT50BD3XA;3.510,00;12;292,50
Refrigerador Panasonic BT50 Top Freezer 2 Portas Frost Free 435L Aço Escovado 220V NR-BT50BD3XB;3.510,00;12;292,50
 Geladeira Brastemp 375L Frost Free com Painel eletrônico BRM44HBANA Branco;3.099,00;12;258,25
Refrigerador Brastemp BRO80AKANA Frost Free Side Inverse 540 litros Inox com Ice Maker;6.999,00;12;583,25
Refrigerador Smart LG Bottom GC-B659BSB 451L Duplex Iverter;5.999,90;12;499,99
Geladeira/Refrigerador Philco PRF406 French Door Frost Free;5.499,90;12;458,32
Refrigerador Cuisinart Arkton 518 Litros  4093450002- 220V Preta;20.990,00;12;1.749,17
Refrigerador / Geladeira Consul Frost Free 342L Crb39Akana Platinum 127V;3.079,00;12;256,58
Geladeira Consul CRE44AB Frost Free Duplex Inverse 397 litros Branca com freezer embaixo - 110V;4.809,00;12;400,75
Geladeira Brastemp Frost Free Duplex 400 Litros BRM54 HBANA;4.259,00;12;354,92
Geladeira Consul CRD37EBANA Biplex 334 lts Branca - 127V;2.629,00;10;262,90
Geladeira Brastemp Brm45Hbana Frost Free Branca 375L 127V;4.129,00;12;344,08
Ref 483L Panasonic 2P Frost Free - Nr-Bt55pv2xb;7.661,80;12;638,48
Freezer e Refrigerador Horizontal Britânia 127v;1.999,90;10;199,99
Geladeira Consul Facilite Frost Free 1 Porta 342L CRB39A Branco;1.540,00;10;154,00
Refrigerador 240L Electrolux 1P Re31 Degelo 220V;2.438,78;10;243,88
 Geladeira Consul CRA30 261 Litros com 1 Porta Degelo Seco e Compartimento Extra Frio;1.999,00;10;199,90
Refrigerador Frost Free Inverse 443 L Inox Brastemp 110V;4.799,00;12;399,92
Refrigerador Duplex Inox 462 Litros Brastemp 110v BRM56AK;4.599,00;12;383,25
Refrigerador Electrolux TF42S 2 Portas 382 Litros Frost Free;4.426,90;12;368,91
Refrigerador Instalação Livre Retro Bordeaux;11.329,00;12;944,08
Refresqueira 2 Cubas Venâncio;2.310,00;10;231,00
Resistencia Degelo Botinha Brastemp 110V - 10759000 1;37,06;1;37,06
Motor Ventilador Modelo Df51 Df52 Dw52X 70201290;138,05;2;69,02
Geladeira 400L Brastemp BRM54HB Branca 220V;3.463,95;12;288,66
3 Filtro Geladeira Antiodor Consul Bem Estar Crm45 Crm49 Crm50 Crm51*;35,60;1;35,60
 Refrigerador Consul Biplex Cycle Defrost 334 Litros CRD37 - Branco;2.499,00;10;249,90
Geladeira/Refrigerador Electrolux Frost Free Duplex 431 Litros IF55 Top Freezer;4.723,90;12;393,66
Refrigerador Brastemp  375 Litros - Brm45hbana - 110V;3.390,00;12;282,50
Geladeira Frost Free Side By Side Inverse 540L Evox Brastemp;8.924,90;12;743,74
Refrigerador Philco Inverter 489L Side By Side Inox Frost Free 127V PRF504I;5.632,22;12;469,35
Refrigerador Bottom Freezer 02 portas Gorenje Retro ION Generation 329l Frost Free 220v;14.419,00;12;1.201,58
Refrigerador Brastemp Inverse Frost Free 573L Evox 220V BRE80AK;6.276,67;12;523,06
Frigobar Beer Center 126 Latas/ 11 Garrafas 60Cm Cusinart Arkton 220V;13.990,00;12;1.165,83
Geladeira Brastemp Frost Free 500 Litros Duplex BRM57AK Evox 110V;4.469,00;12;372,42
Geladeira Duplex Inox Esmaltec RCD38 306L Cycle Defrost;2.089,00;10;208,90
 Refrigerador Consul Biplex Cycle Defrost 334 Litros CRD37 - Branco;2.499,00;10;249,90
Geladeira/Refrigerador Frost Free 410 Litros Consul CRM50HK Inox 127V;3.568,95;12;297,41
Degelo Quality Brm/Crm 37/43 Brastemp 220V - 326000281 1;42,67;1;42,67
Refrigerador Panasonic BT40 387L 2 Portas Branco Frost Free 220V NR-BT40BD1WB;3.065,56;12;255,46
Geladeira Refrigerador Consul CRB39 Frost Free 342 Litros 220v;2.509,00;10;250,90
Console Do Termostato Geladeira Consul Cra34d Cra35fb;15,00;1;15,00
Geladeira Frost Free Midea MD-RT453FGA041 425L Inox 110V;3.399,00;12;283,25
Frigobar Midea 45L Practia com Porta Reversível Branco 220V;829,00;8;103,62
Refrigerador Expositor Vertical Metalfrio Branco 296 Litros  VB28RB 220V 220V;4.170,69;12;347,56
Geladeira/Refrigerador Frost Free 450 Litros Consul CRM56HB Branca 127V;3.568,95;12;297,41
Refrigerador Samsung 470 Litros 3 Portas Frost Free Syde Inverse RF49A5202S9;9.607,63;12;800,64
Geladeira Consul Frost Free Duplex CRM50 410L Espaço Flex Branca;3.499,90;12;291,66
Geladeira / Refrigerador Frost Free Duplex Inverse Consul CRE44AK, 397 Litros;4.278,93;12;356,58
Refrigerador Consul CRM43 2 Portas 386 Litros Frost Free Branco;3.399,90;12;283,32
Geladeira Electrolux Df82 553 Litros 2 Portas Branco - 220v;6.427,90;12;535,66
Geladeira/Refrigerador Frost Free 410 Litros Consul CRM50HB Branca 220V;3.201,45;12;266,79
Geladeira 483L Duplex Branco Panasonic;4.391,90;12;365,99
Geladeira Frost Free 400 Litros Branco Brastemp 220V BRM54;4.142,90;12;345,24
Geladeira Frost Free Samsung Evolution 460L Inox Bivolt RT46K;4.799,00;12;399,92
Geladeira Frost Free Inverse 435 Litros Inox RL4353RBASL/AZ;6.499,00;12;541,58
Refrigerador DC35A Duplex 260L C. Defrost Branco ELECTROLUX;2.199,90;10;219,99
Refrigerador RCD34 Duplex 38,5kWh 276L Branco - ESMALTEC;2.099,90;10;209,99
Geladeira / Refrigerador Frost Free Brastemp Side Inverse BRO80AK, 540 Litros;7.381,93;12;615,16
Geladeira / Refrigerador Frost Free Duplex Inverse Consul CRE44AB, 397 Litros;3.639,00;12;303,25
Refrigerador/Geladeira Consul Cycle Defrost 334L Duplex CRD3;2.299,90;10;229,99
Refrigerador Electrolux 310L 2 Portas Frost Free Branco;2.665,56;10;266,56
Refrigerador RCD34 Duplex 38,5kWh 276L Branco - ESMALTEC;2.099,90;10;209,99
Geladeira/Refrigerador Electrolux Frost Free Duplex DFN41;2.999,90;12;249,99
Forno Eletrico de Embutir Electrolux  80 Litros Inox 220V OE9XT + Micro-ondas de Embutir 34 Litros Inox - 110v - MX43T;13.908,93;12;1.159,08
Refresqueira 1 Cuba Venâncio;1.999,00;10;199,90
Geladeira Brastemp Frost Free 400 litros Branca - BRM54;3.180,15;12;265,01
Geladeira Degelo Seco 1 Porta 261 Litros;1.783,95;10;178,40
Refrigerador Consul Frost Free 1 Porta 342L Inox 220V CRB39AK;2.398,89;10;239,89
Refrigerador Electrolux Cycle Defrost 2 Portas 475 Litros Branco DC51;3.509,01;12;292,42
Refrigerador Brastemp Duplex FrostF Evox 478L 220V BRM59AK;6.776,67;12;564,72
Geladeira Dfn41 371L 2 Portas Electrolux 220v;3.860,90;12;321,74
Geladeira Frost Free 410 Litros Consul Crm50hk Inox 127V;3.599,99;12;300,00
Refrigerador Cuisinart Arkton 518 Litros  4093450001 - 220V;20.990,00;12;1.749,17
Refrigerador Philco PRF505TI Eco Inverter Frost Free 467L;4.399,90;12;366,66
Geladeira/Refrigerador Smart Bottom Freezer ThinQ 451 Litros LG GC-B656BSB Aço Escovado 127V;7.506,45;12;625,54
Geladeira Brastemp 375 Litros Frost Free Duplex Evox 220V 220V;3.399,00;12;283,25
Refrigerador Consul Domest 397L 2 Portas FF Branco 220V;3.776,67;12;314,72
Refrigerador Consul Domest 397L 2 Portas FF Branco 127V;3.942,22;12;328,52
Geladeira Consul Crm56hb 450 Litros Frost Free Branco 220v;4.658,90;12;388,24
Geladeira Consul Crm56hk 450 Litros Frost Free Inox 220v;5.150,90;12;429,24
Refrigerador de 02 Portas Continental Frost Free com 472 Litros Top Freezer Platinum - TC56S;3.776,03;12;314,67
Refrigerador Brastemp Inverse 419L 3 Portas Frost Free Preto 220V BRY59BE;7.021,11;12;585,09
Refrigerador Brastemp Frost Free Duplex 375 Litros com Compartimento Extrafrio Inox BRM44HK – 220 Volts;3.468,34;12;289,03
Geladeira Consul 342 Litros 1 Porta Frost Free Inox 220V;3.086,90;12;257,24
Geladeira Brastemp Duplex Inox 462 Litros 110V;4.599,00;12;383,25
Refrigerador Side By Side New Lancaster Instaview 601 Litros LG 127v;18.000,00;12;1.500,00
Refrigerador Top Freezer Elexctrolux de 02 Portas Frost Free com 402 Litros com Icemax Branco - DF44;3.422,93;12;285,24
Geladeira 1 Porta 342 Litros Frost Free Branco Consul 220V CBR39;2.867,90;11;260,72
Geladeira Frost Free 410L Consul Crm50hb Branca 127V;3.099,99;12;258,33
 Geladeira Panasonic 483L Frost Free Inverter EcoNavi Vitamin Power Branco;3.699,00;12;308,25
Geladeira Brastemp Frost Free Duplex - 375L BRM44 HKANA;3.829,00;12;319,08
Lâmpada 40W 127V Geladeira Brs70G/Brs62A Brastemp 326062950;119,46;2;59,73
Refrigerador Cuisinart Multi Door Arkton 518 Litros Cinza 220V 4093450001;20.990,00;12;1.749,17
Geladeira e Refrigrador Britânia Side By Side 434l 220v;4.999,90;12;416,66
Refrigerador Philco French Door Inverse 4 Portas 403L PRF411I Inverter;5.999,90;12;499,99
Geladeira Brastemp 400 Litros Frost Free Control 220V 220V;3.399,00;12;283,25
Geladeira Consul 450 Litros Frost Free Duplex com Espaço Flex Branca 110V;3.299,00;12;274,92
Puxador Porta Lse Electrolux Lse11 12608200;71,64;1;71,64
Mini Geladeira Portátil 12V St30 Para Viagem 30 L Black;2.551,98;10;255,20
Mini Cooler Geladeira Carro 30L Portatil 12V Camping Viagem;2.551,98;10;255,20
Geladeira Portátil Caminhão Motor Home 12V 24V 110V 220V;2.551,98;10;255,20
Geladeira Caminhão Portatil 30 Litros Resf 12/24V 110/220V;2.551,98;10;255,20
Cooler Mini Geladeira Portátil 30 L 12V 24V 110V 220V Carro;2.551,98;10;255,20
Cooler Para Bebida Mini Geladeira Portátil 12 110 220V Carro;2.551,98;10;255,20
Mini Cooler Geladeira 18L Portatil Quadrivolt Camping Viagem;2.298,92;10;229,89
Cooler Para Bebida Mini Geladeira Portátil 12 110 220V Carro;2.551,98;10;255,20
Refrigerador French Door Samsung de 04 Portas Frost Free com 501 Litros Twin Cooling Inox - RF22R7351SR/AZ;24.608,93;12;2.050,74
Geladeira Midea 425 Litros Frost Free Duplex Inox 110V;3.299,00;12;274,92
Refrigerador Electrolux 382L Frost Free 2 Portas Degelo Automático;3.299,90;12;274,99
Refrigerador Electrolux Frost Free 431 Litros Inverter Top Freezer Branco IF55 – 127 Volts;4.357,85;12;363,15
Geladeira Consul CRM50HB Frost Free 410L;0;0;0
Refrigerador 2 Portas Consul 334 Litros Cycle Defrost Classe;2.525,90;10;252,59
Auto Serviço Conservex 3 Portas Geladeira 3 Portas De Vidro;9.963,00;12;830,25
Refrigerador Electrolux RE31 Cycle Defrost 240 Litros;1.999,90;10;199,99
Refrigerador Electrolux 475L Duplex Clycle DeFrost;3.859,90;12;321,66
Geladeira/Refrigerador Inverse Frost Free 443L Brastemp BRE57AK Inox 127V;4.723,95;12;393,66
Refrigerador / Geladeira Frost Free Duplex Inverse Brastemp BRE59AB, 460 litros, Branca;5.202,49;12;433,54
Refrigerador Electrolux Top Freezer 474 Litros TF56;4.198,74;12;349,90
Refrigerador Electrolux Top Freezer 431 Litros Frost free TF55S;4.026,03;12;335,50
Placa Módulo Geladeira Consul Crm50 W10405496 - 110V 220V;155,95;2;77,98
Refrigerador Electrolux Frost Free 310 Litros Platinum TF39S - 127 Volts;3.157,84;12;263,15
Refrigerador Brastemp Frost Free 375 Litros Branco BRM44 - 220 Volts;3.232,22;12;269,35
Refrigerador Electrolux Duplex Top Freezer 474L Frost Free Branco 127V DF56;4.221,11;12;351,76
Refrigerador Electrolux Frost Free 553 Litros Branco DF82;5.298,28;12;441,52
Refrigerador Electrolux Cycle Defrost 475L Inox 220v - DC51X;3.883,95;12;323,66
Refrigerador Multidoor Frost Free Home Pro Electrolux (DM86X);11.299,00;12;941,58
Geladeira 2 Portas 435 Litros Frost Free Branco Panasonic 220V BT50BD3W;3.969,90;12;330,82
Refrigerador / Geladeira Midea Side by Side 528L 2 Portas Frost Free;5.999,00;12;499,92
Refrigerador / Geladeira Philco Side By Side 489L PRF504I Inverter;6.999,90;12;583,32
Refrigerador Consul Frost Free Duplex 450 Litros Branco CRM56HB – 127 Volts;3.598,16;12;299,85
Refrigerador Electrolux Frost Free Inverter 454 Litros Inox IB53X - 220 Volts;5.329,00;12;444,08
Refrigerador Smart LG French Door 428 Litros Inox 220V GC-L228FTL1;14.776,67;12;1.231,39
Refrigerador Smart LG Botton Freezer 451 Litros 220V Inox GC-B659BSB;7.554,44;12;629,54
Refrigerador Smart LG French Door 428 Litros Inox 127V GC-L228FTL1;14.776,67;12;1.231,39
Refrigerador Smart LG Botton Freezer 451 Litros 127V Inox GC-B659BSB;7.554,44;12;629,54
Geladeira Consul Inverse CRE44AK 397 L Branco;4.249,90;12;354,16
Geladeira Brastemp Frost Free 400L Duplex BRM54HK Evox 110V;4.099,00;12;341,58
REFRIGERADOR CONSUL 342L FRSTFREE 1P CLASSE A CRB39ABBNA / 220v;3.048,78;12;254,06
Refrigerador 397L Consul 2P Frost Free Inverse Cre44abbna 220 Volts;4.512,78;12;376,06
Refrigerador Midea Side by Side 528L Preto Midea;5.999,00;12;499,92
Refrigerador Continental TC56 472L Branco;3.499,90;12;291,66
Geladeira Inverse Frost Free 443l Brastemp Bre57ak Inox 220V;4.699,99;12;391,67
Sensor 10k Whirpool 326005854;50,34;1;50,34
Sensor Temperatura Do Refrigerador 2,7K W10531315 Whirlpool;20,31;1;20,31
Refrigerador de 02 Portas Electrolux Frost Free com 474 Litros com Top Freezer Branco - DF56;4.375,23;12;364,60
Geladeira/Refrigerador Frost Free 431L Electrolux 220V;3.999,99;12;333,33
Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR-BB71PVFX 480 Litros Tecnologia Inverter Aço Escovado;4.599,00;12;383,25
Refrigerador Electrolux Frost Free 454 Litros Inverter Bottom Freezer Branco IB53 – 127 Volts;4.999,76;12;416,65
Evaporador Refrigerador Ge Frost Free;139,90;2;69,95
Painel Geladeira Bosch Side By Side Inox 504L Kan60a40j ;84,90;1;84,90
Freezer 222L Electrolux 1 Tampa  - H222;4.617,80;12;384,82
Geladeira 260L 2P Dc35a Cycle Defrost Branco;2.779,54;11;252,69
Refrigerador Continental Frost Free Duplex 370L TC41B Branco;2.699,90;10;269,99
Refrigerador Continental Frost Free Duplex 370L TC41S Silver;3.099,90;12;258,32
Evaporador Refrigerador Ge Rege410 127V;139,90;2;69,95
Geladeira Frost Free Panasonic Aço Escovado NR-BT51PV3XA 435 Litros Inverter 220V;3.889,00;12;324,08
Geladeira Samsung RF22R Inverter Frost Free Smart 3 Portas com Dispenser de Água 501L Inox 110V;17.999,00;12;1.499,92
Refrigerador LG Side by Side Lancaster InstaView Prata 601 Litros;18.058,95;12;1.504,91
Geladeira Facilite 1Porta 342L Frost Free Branco Consul 220V;2.610,00;10;261,00
Refrigerador Consul Facilite 342L 1 Porta Frost Free 127V;2.610,00;10;261,00
Geladeira Panasonic Inverter Duplex Frost Free 425 Litros Inox 110V NR-BB53PV3XA;4.499,00;12;374,92
Geladeira Samsung French Door Inox;17.499,00;12;1.458,25
 Geladeira Brastemp BRE57AKBNA Frost Free Inverse Evox 443 Litros com Turbo Ice;5.299,00;12;441,58
Refrigerador Electrolux Frost Free 371 Litros DFX41;3.398,32;12;283,19
Refrigerador Panasonic Frost Free 387l Nr-Bt40bd1wa;3.126,00;12;260,50
 Refrigerador Electrolux Dm84x 579 Litros Frost Free;7.699,00;12;641,58
Refrigerador Electrolux TF55 431 Litros Frost Free Branco;3.599,00;12;299,92
Geladeira Electrolux DFN41 Frost Free 371 Litros com Painel de Controle Externo;2.899,00;11;263,55
Refrigerador Electrolux DB53 Bottom Freezer Frost Free Duas Portas 454 Litros;4.499,00;12;374,92
Geladeira Brastemp Inverse Maxi Frost Free 573 Litros Branca BRE80ABANA;5.787,66;12;482,30
Refrigerador Gorenje Retrô Bordeaux 220V - Orb152r;9.629,65;12;802,47
Geladeira/Refrigerador Philco Frost Free - Side by Side 437L PRF 5331 Eco Inverter - 220v ;5.566,98;12;463,92
Refrigerador Philco PRF505TI Inverter Frost Free 467L 127V;4.399,90;12;366,66
Refrigerador Electrolux Cycle Defrost 475 Litros Inox DC51X – 127 Volts;3.948,05;12;329,00
Geladeira/Refrigerador Frost Free 431L Electrolux 127V;3.999,99;12;333,33
Refrigerador Electrolux Cycle Defrost 260l Branco 127V Dc35a;2.099,99;10;210,00
Geladeira Frost Free 450L Consul Crm56hb Branca 127V;3.599,99;12;300,00
Refrigerador Electrolux Cycle Defrost 475l Inox 220V Dc51x;3.899,99;12;325,00
Refrigerador Electrolux Cycle Defrost 260L Branco 127v - DC35A;2.151,45;10;215,14
Refrigerador Frost Free Electrolux 310L Branco - TF39;2.833,95;11;257,63
Refrigerador Brastemp Frost Free 2 Pts 400l Duplex Brm54hban;3.908,90;12;325,74
Geladeira Consul Inverse Duplex Frost Free 397 Litros 220v;5.219,90;12;434,99
Geladeira Electrolux TF55 431 Litros Frost Free Duplex Top Freezer 110V;3.299,00;12;274,92
Refrigerador Brastemp 500 Litros - Brm57akana 110V;5.790,00;12;482,50
Geladeira Panasonic BB71GV Frost Free Inverter 480L;5.699,90;12;474,99
Geladeira Consul CRE44AK Frost Free Duplex 397L;4.399,90;12;366,66
Refrigerador Electrolux Cycle Defrost 260L Branco 220v - DC35A;2.151,45;10;215,14
Geladeira Electrolux RE31 240 Litros Cycle Defrost Degelo Prático 110V;1.699,00;10;169,90
Geladeira/Refrigerador Brastemp Frost Free Inverse - 443L BRE57 AKANA 220V;5.532,33;12;461,03
Refrigerador/Geladeira Brastemp 400L Frost Free Duplex;3.799,90;12;316,66
Refrigerador Consul Frost Free 340L Evox CRM39AK – 127 Volts;3.179,31;12;264,94
Refrigerador Brastemp Frost Free Duplex 500L 2 Portas Evox BRM57AK;5.143,33;12;428,61
Refrigerador Electrolux Frost Free 371 Litros DFX41 - 127 Volts;3.397,62;12;283,14
Geladeira/Refrigerador Brastemp Frost Free Duplex 375L BRM44;3.299,90;12;274,99
Geladeira Panasonic Frost Free 425L NR-BB53PV3BA 127v;4.999,00;12;416,58
Geladeira/refrigerador Frost Free 400l Brastemp Inox 127v;3.999,99;12;333,33
Geladeira Consul CRE44AK Frost Free Duplex 397L;4.399,90;12;366,66
Geladeira/Refrigerador Frost Free 371 Litros Electrolux DFN41 Branca 220V;3.043,95;12;253,66
Refrigerador Frost Free Electrolux 598 Litros DB84X Bottom Freezer Inox 127V;5.799,90;12;483,32
Geladeira Porta De Vidro Expositora Conservex;3.800,00;12;316,67
Geladeira Porta De Vidro Expositora Conservex;3.800,00;12;316,67
Geladeira Porta De Vidro Expositora Conservex;3.230,00;12;269,17
Controle Eletrônico Bivolt - 127V/220V Brastemp 326061172;535,94;5;107,19
Placa Potencia Geladeira Df36A/X/Dw42X Electrolux 70201095;148,64;2;74,32
Refrigerador Gorenje Ion Generation 2 Portas Inverse Inox NRK6192UX;11.329,00;12;944,08
Refrigerador Brastemp 540 Litros Bro80akbna 220V;7.390,00;12;615,83
Refrigerador Electrolux Frost Free 382 Litros Top Freezer com Dispenser de Água Platinum TW42S – 127 Volts;3.897,92;12;324,83
Geladeira/Refrigerador Samsung 470 Litros RF49A5202S9, Frost Free, French Door, Inox;9.599,00;12;799,92
Refrigerador Frost Free 371 Litros DFX41 com Turbo Congelamento - Electrolux;3.299,00;12;274,92
Espremedor de frutas Suco Express 0,75L Vermelho 220V;148,47;2;74,24
Espremedor de frutas Suco Express 0,75L Preto 110V;148,47;2;74,24
Umidificador Ultrassônico de Ar Portátil Britânia - BUD04B 4,8L;238,36;2;119,18
Purificador de Água Consul CPC31AB com Refil Troca Fácil e Filtragem Classe A – Branco;502,98;5;100,60
Espremedor de frutas Suco Express 0,75L Preto 220V;148,47;2;74,24
Cafeteira Elétrica Arno Perfectta Inox CFPI 12 Xícaras - Preto - 220v;153,52;2;76,76
Cafeteira Elétrica Arno Perfectta Inox CFPI 12 Xícaras - Preto - 110v;153,52;2;76,76
Freezer e Refrigerador Horizontal  Britânia BFH162B 143L Branco 220V;1.999,90;10;199,99
Refrigerador Electrolux Inverter 431 Litros Platinum IF55S;4.378,71;12;364,89
Geladeira Frost Free 500l Brastemp Brm57ab Branca 220V;4.699,99;12;391,67
Placa Módulo Geladeira Consul Crm50 W10405496 - 110V 220V;138,95;2;69,48
Geladeira Consul 334 litros Cycle Defrost Duplex com Freezer Supercapacidade 110V 110V;2.099,00;10;209,90
Geladeira Consul 342 litros Frost Free com Gavetão Hortifruti 110V 110V;2.099,00;10;209,90
Geladeira Duplex 260 Litros 12/24 Volts Junges ;4.400,00;12;366,67
Refrigerador Metalfrio 97 Litros Counter Top para Bebidas All Black VB11RL – 127 Volts;3.086,23;12;257,19
Refrigerador Philco PRF505TI Inverter Frost Free 467L 220V;4.399,90;12;366,66
Geladeira Frost Free Electrolux 540 Litros Inverter Inox Wi-fi DM91X 110v;18.499,90;12;1.541,66
Geladeira/Refrigerador Smart Side by Side Com Door in Door e Compressor Inverter 601L LG GS65SDN Inox 127V;14.068,95;12;1.172,41
Geladeira Electrolux Frost Free TF56 474L;3.999,90;12;333,32
Cervejeira Black 100 Preto Fosco Venax 220v;2.839,00;11;258,09
Expositor Vertical 82 Litros Venax VV100 Porta de Vidro 220V;2.209,00;10;220,90
Cervejeira Blue Light 330 Venax com LED;5.589,00;12;465,75
Geladeira 573L Inverse Maxi Ative Bre80ab Brastemp 220v;6.897,90;12;574,82
Refrigerador 482 Litros 4 Portas Frost Free Multidoor Midea;7.439,90;12;619,99
Micro Ventilador Cooler 120X120X38 Ventuinha Para Computador;153,02;2;76,51
Refrigerador Brastemp Frost Free Inverse 443 Litros BRE57AK;4.997,66;12;416,47
Refrigerador Electrolux Top Freezer 431 Litros Frost free TF55S;4.025,98;12;335,50
Refrigerador Electrolux Top Freezer 474 Litros TF56 - 127 Volts;4.199,04;12;349,92
Resistencia Evaporador Df 38/Df34 Electrolux 110V 64684710 1;50,53;1;50,53
Resistencia Degelo Consul Crd36/39 Crg36 220V - W10630758 1;41,54;1;41,54
Resistencia Evaporador Ge 200W 220V - Wa238C4088P002 1;60,64;1;60,64
Geladeira Inverter Duplex 425 Litros Inox Panasonic 110v;4.499,00;12;374,92
Geladeira/Refrigerador Panasonic Inverter Duplex 425L Preto;5.799,90;12;483,32
Resistencia Evaporador Df 38/Df34 Electrolux 220V 64684711 1;50,53;1;50,53
Motor Ventilador Cond Electrolux 220V Di80 64390404;187,00;2;93,50
Geladeira Consul CRM43 Frost Free Duplex com Prateleira Dobrável 386L;2.899,90;11;263,63
Cervejeira Venax Blue Light 200 Litros - 110V;3.990,00;12;332,50
Refrigerador 540l Brastemp 3p Frost Free Syde Inverse Classe a Bro80aeana;9.085,90;12;757,16
