Livro;preco;parcelas;valor_parcelas
"Tales of Terror; or, The Mysteries of Magic";242,37;2;121,18
Where Whales Speak, A Tale of the Record Keepers;124,73;2;62,36
Dying Wishes;157,77;2;78,88
Daughter of a King;122,49;2;61,24
Wissensintensives Neudenken;272,66;3;90,89
Gerard, or, The World, the Flesh, and the Devil;168,30;2;84,15
Only Twelve Days;130,59;2;65,30
Detective Story Magazine, Oct 5 1916;204,02;2;102,01
America;154,43;2;77,22
Liens du Coeur;279,85;3;93,28
Melmoth the Wanderer;243,17;2;121,58
4;177,41;2;88,70
Os Óculos;129,31;2;64,66
"Agatha Page; a Parable";186,18;2;93,09
"Stories by American Authors; 1";177,06;2;88,53
The Beasts, Birds, and Bees of Virgil;136,74;2;68,37
 Fantastical Tales From Here, There & Everywhere;116,31;2;58,16
The Jumping Off Place;116,56;2;58,28
La tempête Alex, un pont sur lavenir;89,34;1;89,34
Teen Talaq;127,93;2;63,96
"The Norwester of ..; yr.1922";191,40;2;95,70
Zwischen Verlangen und Liebe;219,13;2;109,56
Secrets Of The Light;127,93;2;63,96
If Any Man Sin [microform];176,41;2;88,20
Steve Jobs;127,41;2;63,70
Blind Girl of Wittenberg;166,31;2;83,16
Indian navodhana nayakar;103,16;2;51,58
Night Picture of Rain Sound;101,84;2;50,92
Indian Trade Union Prsthanathinte Charithram;91,69;1;91,69
"The Annuary; 1915";133,06;2;66,53
Kagaz Ka Panchi Aur Sapno Ki Nao;157,02;2;78,51
SUNIL;260,50;2;130,25
Mtyum Koodalloorum|¿¿¿¿¿¿¿ ¿¿¿¿¿¿¿¿¿¿;88,13;1;88,13
Ghyave;93,87;1;93,87
Adrisyamanushyan;90,76;1;90,76
Pulithadam Thedi / ¿¿¿¿¿¿¿¿¿¿ ¿¿¿¿;144,31;2;72,16
 Tanavyugatil Tarun Pidhishi;118,21;2;59,10
Swachch Bharat;159,80;2;79,90
A félelem nélküli harcosok;159,55;2;79,78
Amarshathinte Kadhakal;90,76;1;90,76
Magardoha;128,45;2;64,22
Chennamallipurathe Pulimarangal;138,68;2;69,34
Oru neenda yathra;88,13;1;88,13
II, Social Studies Class- VI-VIII (PTP);124,89;2;62,44
Hindutva Ambedkar / ¿¿¿¿¿¿¿¿¿¿ ¿¿¿¿¿¿¿¿¿¿;135,72;2;67,86
Smart Leadership;129,38;2;64,69
The Private Papers Of Eastern Jewel;151,86;2;75,93
Madhyadesathe Charithrapadhangal;115,36;2;57,68
Swayampak Gharatil Nava Mitra;107,98;2;53,99
Doctorankade Janyapurvi;186,24;2;93,12
Samvathsarangal;168,71;2;84,36
Teen Tharikida / ¿¿¿¿ ¿¿¿¿¿¿;103,16;2;51,58
Chicken Soup For The Soul Part 3;166,18;2;83,09
The Transmission of Life [microform];175,30;2;87,65
Socialisathinte bhavi sahithyam sangeetham;145,06;2;72,53
Chicken Soup For The Sisters Soul;160,69;2;80,34
Drums Afar [microform];175,88;2;87,94
PatriEriyum Bastar / ¿¿¿¿¿¿¿¿¿¿¿¿¿ ¿¿¿¿¿¿;233,92;2;116,96
Zatpat Vyaktimatvavikas;92,56;1;92,56
Palya Vyaktimatvacha Kanmantra;107,98;2;53,99
Chicken Soup For The Fathers Soul Part 2;120,45;2;60,22
Spandan Aur Anubhutiya;158,71;2;79,36
Share Trading Karo Aur Ameer Bano;127,93;2;63,96
Between Earth and Sky;143,95;2;71,98
Banzai! [microform];175,30;2;87,65
Kaltes Herz;168,73;2;84,36
The Tale Of The Tulsi Plant And Other Studies;147,18;2;73,59
Malayan Monochromes;166,76;2;83,38
Freeman und Co.;145,52;2;72,76
Eirene;167,46;2;83,73
Helene;79,87;1;79,87
Back From Hell;118,59;2;59,30
The Gypsy Queens Vow [microform];185,66;2;92,83
The Forest Spy;132,37;2;66,18
The Dons of Warrington;103,78;2;51,89
Reflections;147,66;2;73,83
Dance of Steel;191,19;2;95,60
Ravine Lereux;125,66;2;62,83
de-camp;134,75;2;67,38
Les Onze mille verges;86,62;1;86,62
Diener des Ordens;284,92;3;94,97
The Door of Dread [microform];185,15;2;92,58
1805;136,36;2;68,18
Only Twelve Days;125,44;2;62,72
La Legende De Grewlka;264,76;2;132,38
Travers;166,31;2;83,16
Real Estate Planning How To Buy A House;156,68;2;78,34
Achchha Bolne Ki Kala Aur Kamyabi;144,90;2;72,45
Kazhchavattam;127,93;2;63,96
Kumaranasan kavithayum jeevithavum;91,90;1;91,90
The Lone Furrow [microform];180,10;2;90,05
"The Rebel Rose. A Novel; 1";165,80;2;82,90
The Turmoil;177,12;2;88,56
The 24 ( Thoughts for my sons );144,33;2;72,16
glory Girl [microform];154,65;2;77,32
Savage Tracker;151,46;2;75,73
Il riscatto di Alexis;123,62;2;61,81
Those Delightful Americans [microform];177,06;2;88,53
The Malady of the Century;271,79;3;90,60
Lunivers entre les mondes;142,27;2;71,14
Sous la lune marine;130,81;2;65,40
A Memento;102,03;2;51,02
Blennerhassett, or, The Decrees of Fate;196,70;2;98,35
The Man on Horseback;165,82;2;82,91
Calvary [microform];186,46;2;93,23
Cassidy Smith, Book One;186,95;2;93,48
"Too Many Women; a Bachelors Story";176,84;2;88,42
Who Am I?;129,26;2;64,63
Wallace, or, The Days of Scotlands Thraldom;176,84;2;88,42
Between Worlds;169,90;2;84,95
The Glass Harpoon;218,07;2;109,04
"The Belle of Australia; or, Who Am I?";167,27;2;83,64
The Abbess;165,18;2;82,59
Viagem Ao Centro Da Terra;20,90;1;20,90
A Volta Ao Mundo Em 80 Dias;16,90;1;16,90
Arsène Lupin Contra Herlock Sholmes;20,90;1;20,90
Timestorm: Porque, Do Destino, Não Há Como Escapar;20,90;1;20,90
Heróis;27,90;1;27,90
