Livro;preco;parcelas;valor_parcelas
 À Noite Andamos em Círculos - Daniel Alarcón;43,90;1;43,90
 O Diabo Apaixonado - Jacques Cazotte;42,90;1;42,90
 O Sangue dos Elfos: a Saga do Bruxo Geralt de Rívia - Volume 3 - Andrzej Sapkowski;38,27;1;38,27
 O Último Homem Bom - A. J. Kazinski;32,28;1;32,28
 Sevenwaters - Filha da Floresta - Livro 1 - Juliet Marillier;45,60;1;45,60
 À Venda: Minha Luta Contra o Tráfico Sexual na Europa – Iana Matei;52,90;1;52,90
 O Resgate do Tigre - Volume 2 - Colleen Houck;43,92;1;43,92
 A Guardiã do Portal - Michelle Zink;33,61;1;33,61
 Assassin's Creed -  Renascença - Volume 1 - Oliver Bowden;41,42;1;41,42
 A Casa de Chá ;97,90;1;97,90
 Box Livro de Games: Assassin's Creed - Renascenca, Diablo III - A Ordem e Battlefield 3 - O Russo (3 volumes);89,90;1;89,90
 Corações Valentes - O Rebelde - volume 1 - Jack Whyte;37,99;1;37,99
 Rangers: Ordem Dos Arqueiros - Imperador de Nihon-Ja - Livro 10 - John Flanagan;44,80;1;44,80
 A Obra-Prima de Cada Autor - Vinte Mil Léguas Submarinas - Júlio Verne;35,40;1;35,40
 O Guia do Mochileiro das Galáxias - Volume 1 - Douglas Adams;32,80;1;32,80
 O Silêncio dos Inocentes;34,90;1;34,90
 Amphitryon - Ignacio Padilla;8,37;1;8,37
 Trapo;47,02;1;47,02
 As Crônicas de Gelo e Fogo - A Fúria dos Reis - Volume 2 - Edição Comemorativa - George R. R. Martin;65,00;1;65,00
 Timestorm - Julie Cross;22,25;1;22,25
 A Vida, o Universo e Tudo Mais - Volume 3 - Douglas Adams;31,92;1;31,92
 O Estandarte da Honra;114,90;2;57,45
 Avódezanove e o Segredo do Soviético;35,92;1;35,92
 Hammerstein ou a Obstinação: uma História Alemã;55,20;1;55,20
 Além da Escuridão;57,90;1;57,90
 A Descoberta das Bruxas;49,50;1;49,50
 A Extinção do Desejo: uma História de Iluminação - Michael Boylan;41,38;1;41,38
 Laranja Mecânica: Edição Especial 50 anos - Anthony Burgess;78,92;1;78,92
 A Espada na Pedra - Volume 1 - T. H. White;24,90;1;24,90
 Diablo III: Livro de Cain - Flint Dille;132,90;2;66,45
 World of Warcraft: Sombras da Horda - Michael A. Stackpole;41,42;1;41,42
 Vampiratas: Guerra Imortal - Volume 6 - Justin Somper;48,68;1;48,68
 Morte na Praia - Agatha Christie;33,50;1;33,50
 Outros Reinos - Richard Matheson;44,93;1;44,93
 Homero: Aventura Mitológica - Luiz Antonio Aguiar;39,17;1;39,17
 House Of Cards - Michael Dobbs;36,54;1;36,54
 Level 2 - Lenore Appelhans;40,00;1;40,00
 Série Total War - A Espada de Atilla - Volume 2 - David Gibbins;31,32;1;31,32
 Stephen King;47,92;1;47,92
 A Curiosidade - Stephen P. Kiernan;44,93;1;44,93
