nome;preco_a_vista;parcelas;preco_parcelado
Fone de Ouvido Com Microfone Headset Gamer para pc Notebook;37,99;3;12,66
Fone com microfone Gamer Jogos para computador Notebook Headset PS4 x-one Conexão P2;93,99;9;10,44
Mouse pad 25x20cm Pequeno Tapete de Mesa Slim Impermeável Couro Sintético Jogo Gamer Notebook Computador Escritorio;18,50;1;18,5
Cooler Exaustor Gamer Para Notebook Avell;35,17;1;0
Base para Notebook com Cooler LED Azul Gamer Multilaser Warrior Ingvar 4 Ventoinhas - AC332;170,90;1;0
Base p/ Notebook C3tech Gamer 17,3 Nbc-500bk;178,37;1;0
Fone De Ouvido Gamer Gamin P2 Usb Led Jogos Pc Ps4 Xbox Notebook Gt-f11 Luuk Young;159,00;12;13,25
Controle USB jogos pc notebook computador gamer dualshock;65,13;1;0
Desk Pad/Mat, bubm Large Gaming Desktop Pad Protector pu Leather Laptop pad for Office and Home,31,5 x 15,7, Black Importado;329,90;12;27,49
Mouse Gamer Led 6 Botões Rgb Óptico Usb Pc Notebook 4000dpi;34,99;3;11,66
Headphone Headset Gamer para PS4 Xbox one Pc Notebook Smartphone Fone de ouvido para jogos Estéreo fio de 3,5 mm com Microfone Redução de Ruído - Preto Cinza Led Azul Cabo 2,2M;279,99;12;23,33
Fone Gamer knup KP-397 + Adaptador para ps4 Headfone Headset Gamer Pc para Celular Notebook tablet e etc,;109,25;1;0
Base Para Notebook até 15,6 Gamer Com Cooler Slim Com Led C3tech Exaustor NBC-50BK C3TECH;96,19;1;0
Mouse Gamer Rgb Vx Gaming Titan 1600 Dpi Mauser c/ Fio Usb p/ Pc Gamer Notebook;46,90;4;11,72
Base Para Notebook Gamer 17'' Led Azul - hoopson;107,25;1;0
Desk Pad/Mat, bubm Large Gaming Desktop Pad Protector pu Leather Laptop pad for Office and Home,31,5 x 15,7, Pink-Silver Importado;329,90;12;27,49
Base Gamer Para Notebook 17,3 NBC-400BK C3TECH;175,75;1;0
Fone Headset Gamer c/ Microfone Pc Notebook Ps4 Knup Kp-352;75,00;7;10,71
Base Refrigerada Com 4 Coolers Para Notebook Gamer NBC-100BK com Painel LCD;131,29;1;0
SQDeal 2 Pack USB Joystick Gamepad Gaming Pad Wired Controller with Double Vibration Feedback Motors for pc Computer Laptop Window (Black) Importado;569,90;12;47,49
USB Wireless Gaming Controller Gamepad for PC/Laptop Computer(Windows XP/7/8/10) & PS3 & Android & Steam (Black) Importado;569,90;12;47,49
Headset Gamer Ps4 / Ps5 / Xbox Series / Switch / Pc / Laptop - Trust;274,90;12;22,9
Kingshark gamer ssd M,2 2280 64GB Ngff Internal Solid State Drive High-Performance Hard Drive for Desktop Laptop sata iii 6Gb/s (64GB, M,2 2280) Importado;699,90;12;58,32
Kingshark gamer ssd M,2 2260 64GB Internal Solid State Drive High-Performance Hard Drive for Desktop Laptop sata iii 6Gb/s (64GB, 2260 Importado;699,90;12;58,32
Base Refrigerada Para Notebook Gamer C3Tech NBC-400 2 Coolers LED RGB;170,90;1;0
Headset Gamer Ps4 / Ps5 / Xbox Series / Switch / Pc / Laptop 50Mm - Trust;279,90;12;23,32
Base Suporte Gamer Refrigeração Para Notebook até 17,3 NBC-100BK - C3Tech;113,90;1;0
60% rgb Gaming Keyboard,61 Keys rgb Backlit Wired Gaming Keyboard/Office Mini Keyboard for PC/Mac/Linux/Laptop(Pink) Importado;629,90;12;52,49
60% rgb Gaming Keyboard,61 Keys rgb Backlit Wired Gaming Keyboard/Office Mini Keyboard for PC/Mac/Linux/Laptop(White) Importado;629,90;12;52,49
Zd-v + USB Wired Gaming Controller Gamepad for PC/Laptop Computer(Windows XP/7/8/10) & PS3 & Android & Steam - Black (Renewed) Importado;649,90;12;54,15
Headphone Headset Gamer para PS4 Xbox one Pc Notebook Smartphone Fone para jogos Estéreo fio de 3,5 mm Microfone Redução de Ruído - Preto Cinza Led Azul Cabo 2,2M;279,99;12;23,33
Mochila para notebook gamer backpack iron BK103 oex game;143,00;7;20,42
Fone De Ouvido Gamer Altomex A302 Ps4/xbox/pc/notebook;107,91;1;0
Headphone pc Gamer Gaming Headset Estéreo Fones de Ouvido com Microfone Redução de ruído Led Light para PS4 Xbox Pc Notebook Smartphone Tablet - Led Azul onikuma K17;274,99;12;22,91
Base para Notebook Gamer C3 tech NBC-400BK 17,3;171,71;1;0
Vertical Laptop Stand, Space-Saving Desktop Stand Adjustable Laptop Holder, Fits All MacBook, Phone, iPad, Surface, Samsung, hp and Gaming Laptops (White) Importado;598,40;1;0
Base Refrigerada Para Notebook Gamer C3Tech NBC-600BK 6 Coolers;251,75;1;0
Lvyinyin Vertical Laptop Stand, Desktop Aluminum MacBook Stand with Adjustable Dock Size, Compatible with MacBook, Notebooks, Surface, Chromebook and Gaming Laptops, Doub Importado;598,40;1;0
Fone Ouvido Headset Gamer Microfone Super Bass Knup Pc Notebook;210,00;12;17,5
Base Gamer Warrior Cooler e Led Notebook Ac267 - Multilaser;116,91;no bolet;0
