nome;preco_a_vista;parcelas;preco_parcelado
Geladeria/Refrigerador Consul Duplex CRE44 Frost Free com Freezer baixo 397 litros Evox;3,748,00;12;312,33
Geladeira Panasonic Frost Free 480L Black Glass - NR-BB71GVFB;4,679,10;1;0
Freezer e Refrigerador Horizontal Metalfrio DA550 Dupla Ação com 2 Tampas 546 Litros - Branco;3,788,24;1;0
Geladeira/Refrigerador Electrolux DC51X Cycle Defrost 475 Litros - Inox;3,068,06;1;0
Geladeira / Refrigerador Brastp Inverse Frost Free BRE80AK 573 Litros Evox;5,417,14;1;0
Geladeira Top Freezer 382l Branco (tf42);2,411,02;1;0
Geladeira/Refrigerador Brastp Frost Free 375 Litros BRM45 - Branca;2,519,16;1;0
Geladeira / Refrigerador Consul Duplex 2 Portas Frost Free CRM43HK 386 Litros - Platinum;2,789,07;0;0
Geladeira Top Freezer DW44S Com Dispenser de Água Platinum 400L;2,882,06;1;0
Refrigerador Midea Side by Side 528L Preto Midea;5,579,07;0;0
Geladeira Refrigerador Frost Free Duplex Brastp - BRE80ABANA - 573L - Inverse, Iluminaçao de Led e Smart Bar - Branca;5,589,69;1;0
Frigobar RE80 79L Branco - Electrolux 220V;1,045,56;1;0
Frigobar Consul 117L CRC12;1,268,99;12;105,74
Refrigerador de 02 Portas Panasonic Frost Free com 435 Litros com Degelo Automático Aço Escovado - NR-BT50BD3X;3,167,91;1;0
Geladeira/Refrigerador Samsung Duplex RT38K5A0KS9 Inox Look 385L com All-Around Cooling - Bivolt;3,698,99;12;308,24
3 Filtro Geladeira Antiodor Consul B Estar Crm45 Crm49 Crm50 Crm51*;28,9;2;14,45
Geladeira Brastp Frost Free 462 litros - BRM56 Branco;3,799,00;12;316,58
Armário Aéreo Geladeira De Cozinha e Lavanderia 1 Porta Top Class 0,80m Branco;129;1;0
Freezer e Refrigerador Horizontal Esmaltec 325 Litros ECH350;2,249,10;1;0
Frigobar Brastp Retrô BRA08 76 Litros - Marsala;1,868,19;0;0
Frigobar Brastp Retrô 76 litros Vermelho;1,578,99;12;131,58
Geladeira/Refrigerador Consul CRM43 386 Litros Branco;2,603,07;0;0
Refrigerador Esmaltec ROC31 245 Litros Branco Degelo Manual;1,529,10;1;0
Refrigerador Cycle Defrost 276 Litros rcd 34 - Esmaltec;1,709,10;1;0
